Diagnóstico;Procedimiento;Co-ocurrencias;% de pacientes con diagnóstico que reciben procedimiento;% de pacientes con procedimiento que tienen diagnóstico;Frecuencia_Diagnóstico;Frecuencia_Procedimiento
UUUUUU;0DJ08ZZ;8;6.0%;72.7%;133;11
UUUUUU;30233N1;8;6.0%;80.0%;133;10
UUUUUU;0DJD8ZZ;5;3.8%;29.4%;133;17
UUUUUU;0DB98ZX;4;3.0%;22.2%;133;18
UUUUUU;0DB68ZX;4;3.0%;25.0%;133;16
K2950;0DB98ZX;3;75.0%;16.7%;4;18
D122;0DBK8ZZ;3;75.0%;25.0%;4;12
R197;0DB98ZX;2;50.0%;11.1%;4;18
R109;0DBB8ZX;2;50.0%;16.7%;4;12
K2950;0DBB8ZX;2;50.0%;16.7%;4;12
K2950;0DB68ZX;2;50.0%;12.5%;4;16
R197;0DBB8ZX;2;50.0%;16.7%;4;12
R197;0DB68ZX;2;50.0%;12.5%;4;16
J441;0DJ08ZZ;2;50.0%;18.2%;4;11
Z09;0DBH8ZZ;2;50.0%;22.2%;4;9
Z09;0DBB8ZX;2;50.0%;16.7%;4;12
R197;0DJD8ZZ;1;25.0%;5.9%;4;17
K2950;0DBH8ZZ;1;25.0%;11.1%;4;9
R109;0DBK8ZZ;1;25.0%;8.3%;4;12
Z09;0DJD8ZZ;1;25.0%;5.9%;4;17
R109;0DB68ZX;1;25.0%;6.2%;4;16
R109;0DJD8ZZ;1;25.0%;5.9%;4;17
R109;0DB98ZX;1;25.0%;5.6%;4;18
K2950;0DBN8ZZ;1;25.0%;11.1%;4;9
K2950;0DBL8ZZ;1;25.0%;11.1%;4;9
K2950;0DBK8ZZ;1;25.0%;8.3%;4;12
D122;0DBN8ZZ;1;25.0%;11.1%;4;9
K2950;0DJD8ZZ;1;25.0%;5.9%;4;17
D122;0DBB8ZX;1;25.0%;8.3%;4;12
R197;0DBM8ZZ;1;25.0%;12.5%;4;8
R197;0DBP8ZZ;1;25.0%;12.5%;4;8
D122;0DBH8ZZ;1;25.0%;11.1%;4;9
D122;0DBL8ZZ;1;25.0%;11.1%;4;9
R197;0DBL8ZZ;1;25.0%;11.1%;4;9
