Código,Frecuencia,Porcentaje,Descripción
UUUUUU,133,7.04,Urgencias (UUU)
I10,45,2.38,Hipertensión esencial (I10)
E119,33,1.75,Diabetes mellitus tipo 2 (E11)
Z7982,31,1.64,Uso prolongado de medicamentos (Z79)
F17210,28,1.48,Trastornos por uso de nicotina (F17)
Z7984,25,1.32,Uso prolongado de medicamentos (Z79)
K5730,20,1.06,Enfermedades del sistema digestivo (K00-K95) (K57)
E785,19,1.01,Trastornos del metabolismo lipídico (E78)
Z7901,18,0.95,Uso prolongado de medicamentos (Z79)
E669,18,0.95,Obesidad (E66)
Z87891,18,0.95,Historia personal de enfermedades (Z87)
K210,17,0.9,Enfermedades del sistema digestivo (K00-K95) (K21)
E559,17,0.9,Deficiencia de vitamina D (E55)
E7800,17,0.9,Trastornos del metabolismo lipídico (E78)
K449,16,0.85,Enfermedades del sistema digestivo (K00-K95) (K44)
E6601,15,0.79,Obesidad (E66)
D122,13,0.69,Neoplasias benignas y enf. sangre (D00-D89) (D12)
E43,12,0.63,"Enfermedades endocrinas, nutricionales y metabólicas (E00-E89) (E43)"
E663,12,0.63,Obesidad (E66)
E039,11,0.58,"Enfermedades endocrinas, nutricionales y metabólicas (E00-E89) (E03)"
