Código,Frecuencia,Porcentaje,Descripción
0DB98ZX,18,4.11,Cirugía médica y quirúrgica (Medical & Surgical) (0DB)
0DJD8ZZ,17,3.88,Cirugía médica y quirúrgica (Medical & Surgical) (0DJ)
0DB68ZX,16,3.65,Cirugía médica y quirúrgica (Medical & Surgical) (0DB)
0DBB8ZX,12,2.74,Cirugía médica y quirúrgica (Medical & Surgical) (0DB)
0DBK8ZZ,12,2.74,Cirugía médica y quirúrgica (Medical & Surgical) (0DB)
0DJ08ZZ,11,2.51,Cirugía médica y quirúrgica (Medical & Surgical) (0DJ)
30233N1,10,2.28,"Administración (ej: transfusiones, infusiones) (302)"
0DBH8ZZ,9,2.05,Cirugía médica y quirúrgica (Medical & Surgical) (0DB)
0DBL8ZZ,9,2.05,Cirugía médica y quirúrgica (Medical & Surgical) (0DB)
0DBN8ZZ,9,2.05,Cirugía médica y quirúrgica (Medical & Surgical) (0DB)
0DBP8ZZ,8,1.83,Cirugía médica y quirúrgica (Medical & Surgical) (0DB)
0DBM8ZZ,8,1.83,Cirugía médica y quirúrgica (Medical & Surgical) (0DB)
B24BZZ4,8,1.83,Diagnóstico por imagen (Imaging) (B24)
5A2204Z,6,1.37,"Asistencia y rendimiento extracorpóreo (ej: ECMO, diálisis) (5A2)"
0DBN8ZX,6,1.37,Cirugía médica y quirúrgica (Medical & Surgical) (0DB)
039Y3ZZ,5,1.14,Cirugía médica y quirúrgica (Medical & Surgical) (039)
0DBE8ZX,5,1.14,Cirugía médica y quirúrgica (Medical & Surgical) (0DB)
0DBK8ZX,5,1.14,Cirugía médica y quirúrgica (Medical & Surgical) (0DB)
0DBL8ZX,5,1.14,Cirugía médica y quirúrgica (Medical & Surgical) (0DB)
0PSJXZZ,4,0.91,Cirugía médica y quirúrgica (Medical & Surgical) (0PS)
