modelo,scope,grupo,n_calibracion,q_resid_inf,q_resid_sup,fallback_segmento
LR,global,todos,2391,-6.515765038020808,10.699927503468992,
RF,global,todos,2391,-4.248663749754277,11.2738024775644,
XGB,global,todos,2391,-4.18867315,10.1447429,
LR,segmento,programado,1693,-3.319741981290881,5.249754469640947,
LR,segmento,urgente,698,-13.487418473790328,18.60222866490141,
RF,segmento,programado,1693,-2.250349295034555,6.040016629144638,
RF,segmento,urgente,698,-7.192184065075216,17.89227428291997,
XGB,segmento,programado,1693,-2.0816067400000002,5.210477479999997,
XGB,segmento,urgente,698,-9.22458405,16.487628649999998,
LR,pred_tramo,0-2,973,-0.8385473356610749,2.915171858290437,
LR,pred_tramo,14+ (PLOS),199,-153.29760862023113,21.563943611095254,
LR,pred_tramo,3-6,957,-2.685148457541474,10.430918637119078,
LR,pred_tramo,7-13,262,-6.9428713984161226,26.64132691457222,
RF,pred_tramo,0-2,942,-0.9403695564264039,2.2271614409683895,
RF,pred_tramo,14+ (PLOS),199,-16.27987108516801,36.79931743731243,
RF,pred_tramo,3-6,985,-2.706032140632025,6.963008068383224,
RF,pred_tramo,7-13,265,-7.006869671936977,20.218122580042905,
XGB,pred_tramo,0-2,944,-0.89671045,2.15324516,
XGB,pred_tramo,14+ (PLOS),220,-20.713516699999996,30.761401999999958,
XGB,pred_tramo,3-6,1003,-2.38164864,6.876801899999998,
XGB,pred_tramo,7-13,224,-6.5779335,17.751162425,
LR,segmento_pred_tramo,programado|0-2,812,-0.7292730880700738,2.0006862089793263,False
LR,segmento_pred_tramo,programado|14+ (PLOS),70,-105.96428801344908,23.616095563724002,False
LR,segmento_pred_tramo,programado|3-6,696,-2.290032357083236,5.272697070879899,False
LR,segmento_pred_tramo,programado|7-13,115,-5.6726593732463755,24.74684483810471,False
LR,segmento_pred_tramo,urgente|0-2,161,-1.3061329131492176,6.331236376090848,False
LR,segmento_pred_tramo,urgente|14+ (PLOS),129,-229.76918250794196,18.184558971338227,False
LR,segmento_pred_tramo,urgente|3-6,261,-3.530745948824215,18.066513024788456,False
LR,segmento_pred_tramo,urgente|7-13,147,-7.226478085686856,26.547008467160026,False
RF,segmento_pred_tramo,programado|0-2,842,-0.9213481313982697,2.089023737427792,False
RF,segmento_pred_tramo,programado|14+ (PLOS),76,-15.230773702242145,34.52019545346343,False
RF,segmento_pred_tramo,programado|3-6,688,-2.2008610416710948,5.045065813180266,False
RF,segmento_pred_tramo,programado|7-13,87,-6.280479710490826,28.379193192763637,False
RF,segmento_pred_tramo,urgente|0-2,100,-1.6003152549761699,3.447626097473728,False
RF,segmento_pred_tramo,urgente|14+ (PLOS),123,-16.02360712135445,37.805155560564444,False
RF,segmento_pred_tramo,urgente|3-6,297,-3.4370709883013553,10.840281324534525,False
RF,segmento_pred_tramo,urgente|7-13,178,-7.482808440891262,18.159320421771888,False
XGB,segmento_pred_tramo,programado|0-2,830,-0.8578273049999999,1.611026209999998,False
XGB,segmento_pred_tramo,programado|14+ (PLOS),82,-16.718784149999998,27.354564200000013,False
XGB,segmento_pred_tramo,programado|3-6,704,-1.9662860000000002,4.982764360000001,False
XGB,segmento_pred_tramo,programado|7-13,77,-6.4677704,20.462015480000012,False
XGB,segmento_pred_tramo,urgente|0-2,114,-1.554777815,4.169309054999999,False
XGB,segmento_pred_tramo,urgente|14+ (PLOS),138,-20.742013399999998,31.020587800000015,False
XGB,segmento_pred_tramo,urgente|3-6,299,-3.12888971,11.562571599999991,False
XGB,segmento_pred_tramo,urgente|7-13,147,-6.5691064,17.544105079999994,False
