alcance,segmento,tramo_real,metrica,dif_xgb_menos_lr,ic95_inf,ic95_sup,n
global,todos,todos,mae,-3.8164056686188377,-7.003710041648498,-1.652675976769171,2391
global,todos,todos,rmse,-62.40187275829926,-107.422359472771,-14.495943021225377,2391
global,todos,todos,medae,-0.012703259401995126,-0.06936937110380499,0.04172342749172933,2391
global,todos,todos,me_sesgo_pred_menos_real,-3.7232952408518427,-7.041046128405711,-1.437027893566216,2391
global,todos,todos,pup_subestimacion,-0.04976997072354661,-0.06900878293601004,-0.030531158511083234,2391
global,todos,todos,mae_asimetrico_alpha_2,-3.8629608825023345,-6.980363568873519,-1.741569270938027,2391
global,todos,todos,precision_plos_14,0.024598930481283476,-0.032257685655654386,0.08819526055470314,2391
global,todos,todos,recall_plos_14,0.06810035842293904,0.01644736842105265,0.1254616053765101,2391
global,todos,todos,f1_plos_14,0.05536835384669969,0.009844707139604015,0.10553601061101515,2391
segmento,programado,todos,mae,-0.7644588137155104,-1.1963240545438325,-0.3998130371407344,1693
segmento,programado,todos,rmse,-5.507403464597853,-8.77110699045655,-2.400247127113532,1693
segmento,programado,todos,medae,0.024079665632402047,-0.0127780724809803,0.07703158148247147,1693
segmento,programado,todos,me_sesgo_pred_menos_real,-0.6473825155808419,-1.1543975102147808,-0.2187333980966302,1693
segmento,programado,todos,pup_subestimacion,-0.07028942705256941,-0.09391612522150028,-0.045481393975191964,1693
segmento,programado,todos,mae_asimetrico_alpha_2,-0.8229969627828444,-1.2515064476221571,-0.4330720458158112,1693
segmento,programado,todos,precision_plos_14,0.0051948051948051965,-0.09669897959183674,0.10944866827383286,1693
segmento,programado,todos,recall_plos_14,0.101010101010101,0.009704114655570965,0.19512895991028884,1693
segmento,programado,todos,f1_plos_14,0.07039911308203983,-0.010519914260431803,0.1564459263531031,1693
segmento,urgente,todos,mae,-11.218907137603555,-21.81182383726078,-4.008318848362281,698
segmento,urgente,todos,rmse,-117.48505544143586,-195.0397154455867,-26.391769129112333,698
segmento,urgente,todos,medae,-0.328638857894056,-0.6558012026875537,-0.0716055067312883,698
segmento,urgente,todos,me_sesgo_pred_menos_real,-11.183925962748408,-22.527406585485714,-3.5232525785630258,698
segmento,urgente,todos,pup_subestimacion,0.0,-0.03295128939828079,0.035816618911174825,698
segmento,urgente,todos,mae_asimetrico_alpha_2,-11.236397725031127,-21.354634762312592,-4.184555199489964,698
segmento,urgente,todos,precision_plos_14,0.03457991803278693,-0.03761649581414764,0.10675774903679565,698
segmento,urgente,todos,recall_plos_14,0.04999999999999993,-0.015706806282722474,0.11561149984788563,698
segmento,urgente,todos,f1_plos_14,0.04644362260256296,-0.01106330128205135,0.10593757203265884,698
tramo_real,todos,0-2,mae,-0.07529127620057163,-0.15561546237348087,0.0005902631677052971,1183
tramo_real,todos,0-2,rmse,-0.8610649148758565,-1.5346990053265723,-0.18894104677594054,1183
tramo_real,todos,0-2,medae,0.08161034439776294,0.05312142854322999,0.12800101006888287,1183
tramo_real,todos,0-2,me_sesgo_pred_menos_real,0.032208289125265854,-0.05015252817325039,0.11050843654170299,1183
tramo_real,todos,0-2,pup_subestimacion,-0.15891800507185122,-0.18512256973795435,-0.1327134404057481,1183
tramo_real,todos,0-2,mae_asimetrico_alpha_2,-0.1290410588634906,-0.21070564297228186,-0.05192306880378517,1183
tramo_real,todos,3-6,mae,-0.13900637552756323,-0.2896103321707024,0.011562876976536084,680
tramo_real,todos,3-6,rmse,-0.2625281677129805,-0.6807600240356323,0.15465326226005432,680
tramo_real,todos,3-6,medae,-0.08999314952075843,-0.18138101232327788,0.03950272537457456,680
tramo_real,todos,3-6,me_sesgo_pred_menos_real,-0.29698402750292713,-0.46141131003713876,-0.12288543525786158,680
tramo_real,todos,3-6,pup_subestimacion,0.07352941176470584,0.03676470588235292,0.10882352941176476,680
tramo_real,todos,3-6,mae_asimetrico_alpha_2,-0.060017549539881365,-0.23731739608982025,0.11875794069000194,680
tramo_real,todos,7-13,mae,-0.45161940402560496,-1.0720696184818488,0.07804735630414017,249
tramo_real,todos,7-13,rmse,-1.3024453776119378,-2.729833007756035,-0.12831945271708525,249
tramo_real,todos,7-13,medae,-0.30269614152244406,-0.8390663368112755,0.20521776884655107,249
tramo_real,todos,7-13,me_sesgo_pred_menos_real,-0.11942232604266656,-0.8784766760875331,0.5868533176664632,249
tramo_real,todos,7-13,pup_subestimacion,-0.04417670682730934,-0.104417670682731,0.016064257028112428,249
tramo_real,todos,7-13,mae_asimetrico_alpha_2,-0.6177179430170749,-1.3236345784451145,0.011928060306714363,249
tramo_real,todos,14+ (PLOS),mae,-31.64508532961019,-57.043204323269784,-13.22250041782333,279
tramo_real,todos,14+ (PLOS),rmse,-183.69641539977624,-305.9606766377141,-42.54890245209131,279
tramo_real,todos,14+ (PLOS),medae,-2.717940180743174,-4.938678117458626,-1.1598959437544696,279
tramo_real,todos,14+ (PLOS),me_sesgo_pred_menos_real,-31.214394369266415,-57.842611856022614,-11.875136546045045,279
tramo_real,todos,14+ (PLOS),pup_subestimacion,0.10752688172043012,0.05017921146953408,0.16129032258064513,279
tramo_real,todos,14+ (PLOS),mae_asimetrico_alpha_2,-31.860430809782084,-56.4658695186299,-13.638078812909193,279
