scope,modelo,alcance,segmento,tramo_real,n,coverage_aparente,width_mean,width_median,lower_mean,upper_mean
global,LR,global,todos,todos,2391,0.8996235884567126,13.836021437587654,13.232156665436108,5.935577176162708,19.77159861375036
global,RF,global,todos,todos,2391,0.8996235884567126,13.991728076552079,13.76883040849028,2.258326784713883,16.25005486126596
global,XGB,global,todos,todos,2391,0.8996235884567126,12.817683795903804,12.654374800000001,2.6754349735257215,15.493118769429527
global,LR,tramo_real,todos,0-2,1183,0.9873203719357565,12.474482988107216,12.099957246859137,0.12730965650362833,12.601792644610843
global,LR,tramo_real,todos,14+ (PLOS),279,0.35125448028673834,16.64926556051963,17.2156925414898,47.13177171974265,63.7810372802623
global,LR,tramo_real,todos,3-6,680,0.9647058823529412,14.35985242460971,14.089668751988423,0.44591626709750265,14.805768691707213
global,LR,tramo_real,todos,7-13,249,0.9196787148594378,15.721964426593019,16.78739429001633,2.36293306476603,18.084897491359047
global,RF,tramo_real,todos,0-2,1183,0.9712595097210481,13.154508171436905,13.028404951771298,0.11933010066671114,13.273838272103617
global,RF,tramo_real,todos,14+ (PLOS),279,0.4731182795698925,15.456550897586254,15.522466227318677,13.952733668403425,29.409284565989683
global,RF,tramo_real,todos,3-6,680,0.9470588235294117,14.444148732190332,14.480931202825278,0.70291529173302,15.147064023923352
global,RF,tramo_real,todos,7-13,249,0.9076305220883534,15.092529421325974,15.522466227318677,3.565047153811906,18.65757657513788
global,XGB,tramo_real,todos,0-2,1183,0.9788672865595942,11.968413553428572,11.728966400000001,0.11040277683854609,12.078816330267118
global,XGB,tramo_real,todos,14+ (PLOS),279,0.43010752688172044,14.266694972401435,14.33341605,17.744763335125448,32.01145830752688
global,XGB,tramo_real,todos,3-6,680,0.9529411764705882,13.288221384926473,13.3171137,0.6653786758088236,13.953600060735297
global,XGB,tramo_real,todos,7-13,249,0.9036144578313253,13.94397704116466,14.33341605,3.466313520682731,17.41029056184739
global,LR,segmento,programado,todos,1693,0.9492025989367986,13.366547394115335,12.818874310256128,1.734490925794508,15.101038319909843
global,LR,segmento,urgente,todos,698,0.7793696275071633,14.97473140262867,15.194361266197118,16.125317895178988,31.10004929780766
global,RF,segmento,programado,todos,1693,0.9474305965741288,13.667817561943714,13.281950257402906,1.1273590320283842,14.795176593972101
global,RF,segmento,urgente,todos,698,0.7836676217765043,14.777373493789842,15.522466227318676,5.001490689150199,19.778864182940037
global,XGB,segmento,programado,todos,1693,0.9480212640283521,12.522193143565271,12.1757793,1.376278057294743,13.898471200860012
global,XGB,segmento,urgente,todos,698,0.7822349570200573,13.534396796489972,14.333416049999997,5.826541935100288,19.36093873159026
global,LR,segmento_tramo_real,programado,0-2,983,0.9959308240081384,12.33624100422706,12.014034984304526,0.024242224736390084,12.360483228963451
global,LR,segmento_tramo_real,programado,14+ (PLOS),99,0.3333333333333333,16.6834724714061,17.2156925414898,26.113654670409066,42.79712714181517
global,LR,segmento_tramo_real,programado,3-6,501,0.9780439121756487,14.24542878335611,14.007550018928077,0.314079499794812,14.559508283150922
global,LR,segmento_tramo_real,programado,7-13,110,0.9545454545454546,15.585602145013198,16.27257795142191,1.5459762607866596,17.13157840579986
global,LR,segmento_tramo_real,urgente,0-2,200,0.945,13.153942338878178,12.614682365258146,0.6338860836396042,13.787828422517782
global,LR,segmento_tramo_real,urgente,14+ (PLOS),180,0.3611111111111111,16.630451759532075,17.2156925414898,58.69173609687613,75.3221878564082
global,LR,segmento_tramo_real,urgente,3-6,179,0.9273743016759777,14.680110772475938,14.489132291037727,0.814911911894419,15.495022684370356
global,LR,segmento_tramo_real,urgente,7-13,139,0.8920863309352518,15.829877023526688,17.03768060409937,3.00944564345474,18.839322666981428
