metrica,valor,ic95_inf,ic95_sup,n_boot,n,modelo,alcance,segmento,tramo_real
mae,6.676382212589561,4.418958723229614,9.942967075556917,3000,2391,LR,global,todos,todos
rmse,69.5686929726674,21.00308658671038,112.24922824966063,3000,2391,LR,global,todos,todos
medae,0.8486132594019953,0.7846645215130184,0.9189346322456831,3000,2391,LR,global,todos,todos
me_sesgo_pred_menos_real,2.7609224695452763,0.46601302461805727,6.067631742508615,3000,2391,LR,global,todos,todos
pup_subestimacion,0.4968632371392723,0.4767879548306148,0.5169489753241322,3000,2391,LR,global,todos,todos
mae_asimetrico_alpha_2,8.634112084111703,6.326087951241159,11.953774361224134,3000,2391,LR,global,todos,todos
pct_error_abs_le_1d,0.5424508573818486,0.5227938101212881,0.562526139690506,3000,2391,LR,global,todos,todos
pct_error_abs_le_3d,0.7624424926808867,0.7444583856127144,0.7796005855290673,3000,2391,LR,global,todos,todos
pct_error_abs_le_7d,0.8833124215809285,0.8695106649937264,0.8962777080719364,3000,2391,LR,global,todos,todos
precision_plos_14,0.7754010695187166,0.7150537634408602,0.8341469542836132,3000,2391,LR,global,todos,todos
recall_plos_14,0.5197132616487455,0.45917949146871867,0.5763909313725489,3000,2391,LR,global,todos,todos
f1_plos_14,0.6223175965665235,0.5676841371430785,0.671878125,3000,2391,LR,global,todos,todos
accuracy_plos_14,0.9263906315349226,0.9155165202843998,0.9372647427854455,3000,2391,LR,global,todos,todos
n_plos_real_14,279.0,,,3000,2391,LR,global,todos,todos
n_plos_pred_14,187.0,,,3000,2391,LR,global,todos,todos
tn_plos_14,2070.0,,,3000,2391,LR,global,todos,todos
fp_plos_14,42.0,,,3000,2391,LR,global,todos,todos
fn_plos_14,134.0,,,3000,2391,LR,global,todos,todos
tp_plos_14,145.0,,,3000,2391,LR,global,todos,todos
mae,3.096573713122259,2.8073485883315246,3.420078968584134,3000,2391,RF,global,todos,todos
rmse,8.289912714878062,6.832974237484137,9.88388955738947,3000,2391,RF,global,todos,todos
medae,0.9118077430398337,0.865393513672676,0.9631584433612037,3000,2391,RF,global,todos,todos
me_sesgo_pred_menos_real,-1.3344962570345333,-1.6718144588704182,-1.0199300408417056,3000,2391,RF,global,todos,todos
pup_subestimacion,0.45503973232956924,0.4353826850690088,0.4755332496863237,3000,2391,RF,global,todos,todos
mae_asimetrico_alpha_2,5.312108698200655,4.749576910529772,5.94819188681145,3000,2391,RF,global,todos,todos
pct_error_abs_le_1d,0.5324132162275199,0.5127561689669594,0.5529067335842743,3000,2391,RF,global,todos,todos
pct_error_abs_le_3d,0.7724801338352154,0.7557507319113341,0.7892095357590966,3000,2391,RF,global,todos,todos
pct_error_abs_le_7d,0.8941865328314513,0.8820577164366374,0.9067335842743622,3000,2391,RF,global,todos,todos
precision_plos_14,0.819672131147541,0.7624295716864504,0.8719512195121951,3000,2391,RF,global,todos,todos
recall_plos_14,0.5376344086021505,0.47764744453753966,0.5963668261562998,3000,2391,RF,global,todos,todos
f1_plos_14,0.6493506493506493,0.5939654910384097,0.6978987636391616,3000,2391,RF,global,todos,todos
accuracy_plos_14,0.9322459222082811,0.9222082810539524,0.9422835633626098,3000,2391,RF,global,todos,todos
n_plos_real_14,279.0,,,3000,2391,RF,global,todos,todos
n_plos_pred_14,183.0,,,3000,2391,RF,global,todos,todos
tn_plos_14,2079.0,,,3000,2391,RF,global,todos,todos
fp_plos_14,33.0,,,3000,2391,RF,global,todos,todos
fn_plos_14,129.0,,,3000,2391,RF,global,todos,todos
tp_plos_14,150.0,,,3000,2391,RF,global,todos,todos
mae,2.8599765439707237,2.613448584753011,3.131573396975115,3000,2391,XGB,global,todos,todos
rmse,7.166820214368142,6.033105193256573,8.309428370982598,3000,2391,XGB,global,todos,todos
medae,0.8359100000000002,0.7954825999999999,0.891618,3000,2391,XGB,global,todos,todos
me_sesgo_pred_menos_real,-0.9623727713065664,-1.2631103879753243,-0.6888119897216645,3000,2391,XGB,global,todos,todos
pup_subestimacion,0.44709326641572567,0.4274362191551652,0.4667607695524885,3000,2391,XGB,global,todos,todos
mae_asimetrico_alpha_2,4.771151201609368,4.296870654392179,5.27996387816675,3000,2391,XGB,global,todos,todos
pct_error_abs_le_1d,0.5537432036804685,0.5340757005437056,0.5742367210372229,3000,2391,XGB,global,todos,todos
pct_error_abs_le_3d,0.7913007109995818,0.7745713090757006,0.8071936428272689,3000,2391,XGB,global,todos,todos
pct_error_abs_le_7d,0.8962777080719364,0.8833124215809285,0.9079882894186533,3000,2391,XGB,global,todos,todos
precision_plos_14,0.8,0.7416267942583732,0.8530838297317275,3000,2391,XGB,global,todos,todos
recall_plos_14,0.5878136200716846,0.5294017265609315,0.647291701522503,3000,2391,XGB,global,todos,todos
f1_plos_14,0.6776859504132232,0.6280562905035417,0.7250532985552817,3000,2391,XGB,global,todos,todos
accuracy_plos_14,0.9347553324968633,0.9247176913425345,0.944374738603095,3000,2391,XGB,global,todos,todos
n_plos_real_14,279.0,,,3000,2391,XGB,global,todos,todos
n_plos_pred_14,205.0,,,3000,2391,XGB,global,todos,todos
tn_plos_14,2071.0,,,3000,2391,XGB,global,todos,todos
fp_plos_14,41.0,,,3000,2391,XGB,global,todos,todos
fn_plos_14,115.0,,,3000,2391,XGB,global,todos,todos
tp_plos_14,164.0,,,3000,2391,XGB,global,todos,todos
