metrica,valor,ic95_inf,ic95_sup,n_boot,n,modelo,alcance,segmento,tramo_real
mae,2.6007779948637677,2.1287055529512524,3.1294544724637623,3000,1693,LR,segmento,programado,todos
rmse,11.008062777521546,7.5634881920331996,14.196590969515512,3000,1693,LR,segmento,programado,todos
medae,0.5607635343675978,0.5204884156475285,0.5975181497168771,3000,1693,LR,segmento,programado,todos
me_sesgo_pred_menos_real,0.039622334456211133,-0.4786393654323605,0.5766951342875539,3000,1693,LR,segmento,programado,todos
pup_subestimacion,0.4884819846426462,0.4642498523331364,0.5115180153573539,3000,1693,LR,segmento,programado,todos
mae_asimetrico_alpha_2,3.881355825067546,3.2307988334998576,4.605059607394747,3000,1693,LR,segmento,programado,todos
pct_error_abs_le_1d,0.6639102185469581,0.6414648552864737,0.6869610159480213,3000,1693,LR,segmento,programado,todos
pct_error_abs_le_3d,0.8629651506202008,0.8458357944477259,0.8795038393384524,3000,1693,LR,segmento,programado,todos
pct_error_abs_le_7d,0.9362079149438866,0.9249852333136445,0.9480212640283521,3000,1693,LR,segmento,programado,todos
precision_plos_14,0.8,0.6933076923076923,0.8928841991341993,3000,1693,LR,segmento,programado,todos
recall_plos_14,0.5252525252525253,0.4235180995475113,0.6235325743200506,3000,1693,LR,segmento,programado,todos
f1_plos_14,0.6341463414634146,0.5416544117647059,0.7162298859553196,3000,1693,LR,segmento,programado,todos
accuracy_plos_14,0.9645599527466037,0.9556999409332546,0.9734199645599527,3000,1693,LR,segmento,programado,todos
n_plos_real_14,99.0,,,3000,1693,LR,segmento,programado,todos
n_plos_pred_14,65.0,,,3000,1693,LR,segmento,programado,todos
tn_plos_14,1581.0,,,3000,1693,LR,segmento,programado,todos
fp_plos_14,13.0,,,3000,1693,LR,segmento,programado,todos
fn_plos_14,47.0,,,3000,1693,LR,segmento,programado,todos
tp_plos_14,52.0,,,3000,1693,LR,segmento,programado,todos
mae,16.561766081657996,8.861206203561505,27.94695948736852,3000,698,LR,segmento,urgente,todos
rmse,127.61205344627295,33.138236181825455,209.47065762604592,3000,698,LR,segmento,urgente,todos
medae,2.8207640078940557,2.477541280193617,3.1912080982202955,3000,698,LR,segmento,urgente,todos
me_sesgo_pred_menos_real,9.361439845914596,1.5590554325699115,20.434689038786825,3000,698,LR,segmento,urgente,todos
pup_subestimacion,0.5171919770773639,0.4799426934097421,0.5530085959885387,3000,698,LR,segmento,urgente,todos
mae_asimetrico_alpha_2,20.161929199529695,12.500220259058414,31.502895940179627,3000,698,LR,segmento,urgente,todos
pct_error_abs_le_1d,0.24785100286532952,0.2163323782234957,0.2793696275071633,3000,698,LR,segmento,urgente,todos
pct_error_abs_le_3d,0.5186246418338109,0.4813753581661891,0.5558739255014327,3000,698,LR,segmento,urgente,todos
pct_error_abs_le_7d,0.7550143266475645,0.7234957020057307,0.7865329512893983,3000,698,LR,segmento,urgente,todos
precision_plos_14,0.7622950819672131,0.682530454042082,0.8376068376068376,3000,698,LR,segmento,urgente,todos
recall_plos_14,0.5166666666666667,0.4405792079207921,0.5899072888164406,3000,698,LR,segmento,urgente,todos
f1_plos_14,0.6158940397350994,0.5473684210526316,0.6792452830188679,3000,698,LR,segmento,urgente,todos
accuracy_plos_14,0.833810888252149,0.8051575931232091,0.8610315186246418,3000,698,LR,segmento,urgente,todos
n_plos_real_14,180.0,,,3000,698,LR,segmento,urgente,todos
n_plos_pred_14,122.0,,,3000,698,LR,segmento,urgente,todos
tn_plos_14,489.0,,,3000,698,LR,segmento,urgente,todos
fp_plos_14,29.0,,,3000,698,LR,segmento,urgente,todos
fn_plos_14,87.0,,,3000,698,LR,segmento,urgente,todos
tp_plos_14,93.0,,,3000,698,LR,segmento,urgente,todos
mae,2.0469875833077023,1.7820110717538804,2.3239652762266574,3000,1693,RF,segmento,programado,todos
rmse,6.195986488158342,4.746552096119418,7.7217595290021235,3000,1693,RF,segmento,programado,todos
medae,0.7102774393823394,0.6148317769666605,0.7603283757868331,3000,1693,RF,segmento,programado,todos
me_sesgo_pred_menos_real,-0.8401143655769431,-1.1420992447417928,-0.562621304272088,3000,1693,RF,segmento,programado,todos
pup_subestimacion,0.43473124630832843,0.409923213230951,0.4583579444772593,3000,1693,RF,segmento,programado,todos
mae_asimetrico_alpha_2,3.490538557750025,2.981533234609203,4.033328360171646,3000,1693,RF,segmento,programado,todos
pct_error_abs_le_1d,0.6556408741878322,0.6337861783815711,0.6792675723567632,3000,1693,RF,segmento,programado,todos
pct_error_abs_le_3d,0.8670998227997637,0.8511518015357353,0.8836385115180153,3000,1693,RF,segmento,programado,todos
pct_error_abs_le_7d,0.9409332545776727,0.9297105729474306,0.9521559362079149,3000,1693,RF,segmento,programado,todos
precision_plos_14,0.8082191780821918,0.7162162162162162,0.8939393939393939,3000,1693,RF,segmento,programado,todos
recall_plos_14,0.5959595959595959,0.4946176150779268,0.6916067577282531,3000,1693,RF,segmento,programado,todos
f1_plos_14,0.686046511627907,0.5999717514124294,0.7586206896551724,3000,1693,RF,segmento,programado,todos
accuracy_plos_14,0.9681039574719433,0.9592439456585942,0.9763733018310691,3000,1693,RF,segmento,programado,todos
n_plos_real_14,99.0,,,3000,1693,RF,segmento,programado,todos
n_plos_pred_14,73.0,,,3000,1693,RF,segmento,programado,todos
tn_plos_14,1580.0,,,3000,1693,RF,segmento,programado,todos
fp_plos_14,14.0,,,3000,1693,RF,segmento,programado,todos
fn_plos_14,40.0,,,3000,1693,RF,segmento,programado,todos
