metrica,valor,ic95_inf,ic95_sup,n_boot,n,modelo,alcance,segmento,tramo_real
mae,0.6009189907460267,0.5392257067593499,0.6685806249422801,3000,983,LR,segmento_tramo_real,programado,0-2
rmse,1.1967364945895411,0.9344789310585737,1.508486364763116,3000,983,LR,segmento_tramo_real,programado,0-2
medae,0.3014412146396994,0.2705155607568559,0.3531689490726997,3000,983,LR,segmento_tramo_real,programado,0-2
me_sesgo_pred_menos_real,0.40724952000107073,0.3388580768715569,0.4782286450881999,3000,983,LR,segmento_tramo_real,programado,0-2
pup_subestimacion,0.35300101729399797,0.32451678535096645,0.38453713123092575,3000,983,LR,segmento_tramo_real,programado,0-2
mae_asimetrico_alpha_2,0.6977537261185048,0.6349179401360778,0.7668349409610342,3000,983,LR,segmento_tramo_real,programado,0-2
pct_error_abs_le_1d,0.8413021363173957,0.8179043743641913,0.8636826042726348,3000,983,LR,segmento_tramo_real,programado,0-2
pct_error_abs_le_3d,0.9745676500508647,0.9643947100712106,0.9837232960325534,3000,983,LR,segmento_tramo_real,programado,0-2
pct_error_abs_le_7d,0.9959308240081384,0.9918616480162767,0.9989827060020345,3000,983,LR,segmento_tramo_real,programado,0-2
precision_plos_14,0.0,0.0,0.0,3000,983,LR,segmento_tramo_real,programado,0-2
recall_plos_14,,,,3000,983,LR,segmento_tramo_real,programado,0-2
f1_plos_14,,,,3000,983,LR,segmento_tramo_real,programado,0-2
accuracy_plos_14,0.9989827060020345,0.9969481180061037,1.0,3000,983,LR,segmento_tramo_real,programado,0-2
n_plos_real_14,0.0,,,3000,983,LR,segmento_tramo_real,programado,0-2
n_plos_pred_14,1.0,,,3000,983,LR,segmento_tramo_real,programado,0-2
tn_plos_14,982.0,,,3000,983,LR,segmento_tramo_real,programado,0-2
fp_plos_14,1.0,,,3000,983,LR,segmento_tramo_real,programado,0-2
fn_plos_14,0.0,,,3000,983,LR,segmento_tramo_real,programado,0-2
tp_plos_14,0.0,,,3000,983,LR,segmento_tramo_real,programado,0-2
mae,1.4273332795581635,1.2464432290176906,1.626092504420838,3000,501,LR,segmento_tramo_real,programado,3-6
rmse,2.58371664590376,1.95674448237456,3.219642666887436,3000,501,LR,segmento_tramo_real,programado,3-6
