metrica,valor,ic95_inf,ic95_sup,n_boot,n,modelo,alcance,segmento,tramo_real
mae,0.868802509872592,0.7487966768305024,1.017784244585055,3000,1183,LR,tramo_real,todos,0-2
rmse,2.481830963092903,1.5279079029689713,3.4657576274471125,3000,1183,LR,tramo_real,todos,0-2
medae,0.39375555560223696,0.34018048993111716,0.4192137347965157,3000,1183,LR,tramo_real,todos,0-2
me_sesgo_pred_menos_real,0.6719412189102372,0.5485613336272007,0.8227672171042211,3000,1183,LR,tramo_real,todos,0-2
pup_subestimacion,0.3305156382079459,0.3026204564666103,0.35758664412510577,3000,1183,LR,tramo_real,todos,0-2
mae_asimetrico_alpha_2,0.9672331553537695,0.8467637048526688,1.116298191348653,3000,1183,LR,tramo_real,todos,0-2
pct_error_abs_le_1d,0.7869822485207101,0.7633136094674556,0.8098055790363483,3000,1183,LR,tramo_real,todos,0-2
pct_error_abs_le_3d,0.9518174133558749,0.9391377852916315,0.9636517328825022,3000,1183,LR,tramo_real,todos,0-2
pct_error_abs_le_7d,0.989010989010989,0.983072696534235,0.9949281487743026,3000,1183,LR,tramo_real,todos,0-2
precision_plos_14,0.0,0.0,0.0,3000,1183,LR,tramo_real,todos,0-2
recall_plos_14,,,,3000,1183,LR,tramo_real,todos,0-2
f1_plos_14,,,,3000,1183,LR,tramo_real,todos,0-2
accuracy_plos_14,0.9957734573119188,0.9915469146238377,0.9991546914623838,3000,1183,LR,tramo_real,todos,0-2
n_plos_real_14,0.0,,,3000,1183,LR,tramo_real,todos,0-2
n_plos_pred_14,5.0,,,3000,1183,LR,tramo_real,todos,0-2
tn_plos_14,1178.0,,,3000,1183,LR,tramo_real,todos,0-2
fp_plos_14,5.0,,,3000,1183,LR,tramo_real,todos,0-2
fn_plos_14,0.0,,,3000,1183,LR,tramo_real,todos,0-2
tp_plos_14,0.0,,,3000,1183,LR,tramo_real,todos,0-2
mae,1.7055448418510928,1.5360300601666166,1.8853381519309451,3000,680,LR,tramo_real,todos,3-6
rmse,2.8919722479469567,2.4244730976146727,3.380465074013656,3000,680,LR,tramo_real,todos,3-6
medae,1.0759246495207584,0.9449693336493303,1.1625693163954796,3000,680,LR,tramo_real,todos,3-6
