seccion;variable;valor
GENERAL;numero_diagnosticos;97337
GENERAL;pacientes_unicos;11951
GENERAL;codigos_unicos;6125
GENERAL;diagnosticos_por_paciente_promedio;8.14
TIPO;primarios;18718
TIPO;secundarios;78619
TIPO;porcentaje_primarios;19.23
TOP_CODIGOS;top_01;UUUUUU (3486)
TOP_CODIGOS;top_02;I10 (2529)
TOP_CODIGOS;top_03;Z7982 (1848)
TOP_CODIGOS;top_04;F17210 (1357)
TOP_CODIGOS;top_05;E669 (1315)
TOP_CODIGOS;top_06;E119 (1278)
TOP_CODIGOS;top_07;G4733 (1116)
TOP_CODIGOS;top_08;E7800 (1096)
TOP_CODIGOS;top_09;Z370 (1006)
TOP_CODIGOS;top_10;Z87891 (967)
TOP_CODIGOS;top_11;Z7984 (954)
TOP_CODIGOS;top_12;E6601 (946)
TOP_CODIGOS;top_13;E559 (914)
TOP_CODIGOS;top_14;E440 (854)
TOP_CODIGOS;top_15;Z7901 (823)
TOP_CODIGOS;top_16;E43 (823)
TOP_CODIGOS;top_17;E785 (779)
TOP_CODIGOS;top_18;E663 (704)
TOP_CODIGOS;top_19;E039 (591)
TOP_CODIGOS;top_20;Z955 (586)
TOP_CAPITULOS;top_01;Z (21418)
TOP_CAPITULOS;top_02;E (13303)
TOP_CAPITULOS;top_03;I (11219)
TOP_CAPITULOS;top_04;K (5796)
TOP_CAPITULOS;top_05;R (4649)
TOP_CAPITULOS;top_06;J (4268)
TOP_CAPITULOS;top_07;F (4189)
TOP_CAPITULOS;top_08;U (3486)
TOP_CAPITULOS;top_09;N (3438)
TOP_CAPITULOS;top_10;M (3368)
TOP_CAPITULOS;top_11;G (3034)
TOP_CAPITULOS;top_12;D (3022)
TOP_CAPITULOS;top_13;C (2826)
TOP_CAPITULOS;top_14;O (2567)
TOP_CAPITULOS;top_15;T (2091)
TOP_CAPITULOS;top_16;S (1789)
TOP_CAPITULOS;top_17;B (1361)
TOP_CAPITULOS;top_18;Y (1297)
TOP_CAPITULOS;top_19;W (994)
TOP_CAPITULOS;top_20;L (949)
TOP_CATEGORIAS;top_01;Z79 (4583)
TOP_CATEGORIAS;top_02;Z68 (3522)
TOP_CATEGORIAS;top_03;UUU (3486)
TOP_CATEGORIAS;top_04;E66 (3011)
TOP_CATEGORIAS;top_05;I10 (2529)
TOP_CATEGORIAS;top_06;F17 (2018)
TOP_CATEGORIAS;top_07;E11 (2011)
TOP_CATEGORIAS;top_08;E78 (1922)
TOP_CATEGORIAS;top_09;Z95 (1724)
TOP_CATEGORIAS;top_10;I25 (1539)
TOP_CATEGORIAS;top_11;G47 (1444)
TOP_CATEGORIAS;top_12;I48 (1154)
TOP_CATEGORIAS;top_13;Z87 (1122)
TOP_CATEGORIAS;top_14;Z3A (1121)
TOP_CATEGORIAS;top_15;Z37 (1038)
TOP_CATEGORIAS;top_16;J44 (1023)
TOP_CATEGORIAS;top_17;N18 (982)
TOP_CATEGORIAS;top_18;Z48 (921)
TOP_CATEGORIAS;top_19;E55 (914)
TOP_CATEGORIAS;top_20;E87 (904)
DISTRIBUCION;min_diag_por_paciente;1
DISTRIBUCION;max_diag_por_paciente;126
DISTRIBUCION;median_diag_por_paciente;5.0
