seccion;variable;valor
GENERAL;numero_pacientes;11932
GENERAL;periodo_inicio;2017-07-12
GENERAL;periodo_fin;2018-06-30
LOS;count;11932.0
LOS;mean;6.44
LOS;std;13.2
LOS;min;0.0
LOS;percentil_25;1.0
LOS;median;3.0
LOS;percentil_75;6.0
LOS;max;262.0
LOS;percentil_90;15.0
LOS;percentil_95;27.0
LOS;percentil_99;60.0
LOS_RANGOS;los_0;250
LOS_RANGOS;los_1_3;7086
LOS_RANGOS;los_4_7;2327
LOS_RANGOS;los_8_14;996
LOS_RANGOS;los_15_30;806
LOS_RANGOS;los_mas_30;467
URGENCIA;pacientes_urgencia;3472
URGENCIA;pacientes_electivos;8460
URGENCIA;porcentaje_urgencias;29.1
URGENCIA;los_promedio_urgencia;11.44
URGENCIA;los_promedio_electivo;4.39
PROCEDIMIENTOS;mean;2.22
PROCEDIMIENTOS;std;2.01
PROCEDIMIENTOS;min;1.0
PROCEDIMIENTOS;median;2.0
PROCEDIMIENTOS;max;52.0
PROCEDIMIENTOS;sin_procedimientos;0
PROCEDIMIENTOS;proc_1_2;8480
PROCEDIMIENTOS;proc_3_5;2869
PROCEDIMIENTOS;proc_mas_5;583
DIAGNOSTICOS;mean_total;8.14
DIAGNOSTICOS;std_total;7.83
DIAGNOSTICOS;min_total;1.0
DIAGNOSTICOS;median_total;5.0
DIAGNOSTICOS;max_total;126.0
DIAGNOSTICOS;mean_primarios;1.57
DIAGNOSTICOS;mean_secundarios;6.57
DIAGNOSTICOS;diag_1_5;6023
DIAGNOSTICOS;diag_6_10;2860
DIAGNOSTICOS;diag_11_15;1296
DIAGNOSTICOS;diag_mas_15;1753
CORRELACIONES;los_vs_procedimientos;0.426
CORRELACIONES;los_vs_diagnosticos;0.545
