codigo;n_registros;los_mean;los_median;los_std;los_max;n_pacientes;n_outliers;prob_outlier
P612;15;66.73333333333333;64.0;31.31514162890047;114;15;12;0.8
P744;15;63.6;62.0;36.13822669378547;114;15;12;0.8
P284;13;53.84615384615385;48.0;31.91093374233497;103;13;10;0.7692307692307693
T391X5A;13;54.84615384615385;42.0;30.498213482776755;130;13;10;0.7692307692307693
P293;12;61.916666666666664;60.0;38.53795846207013;114;12;8;0.6666666666666666
Z4781;17;79.11764705882354;76.0;59.92900211181267;183;17;11;0.6470588235294118
G6281;31;57.225806451612904;43.0;52.92618109368265;262;31;19;0.6129032258064516
P590;20;43.3;43.5;28.75504532388964;114;20;12;0.6
P742;15;50.06666666666667;47.0;38.51802299233561;114;15;9;0.6
P0734;10;34.7;42.5;19.073250611494856;64;10;6;0.6
Y835;14;47.714285714285715;42.0;46.86220154949972;183;14;8;0.5714285714285714
L270;18;61.72222222222222;50.5;56.63589129700826;209;18;10;0.5555555555555556
G8220;24;43.458333333333336;35.5;41.62459470142587;155;24;13;0.5416666666666666
T82868A;13;44.15384615384615;51.0;32.83505787479329;91;13;7;0.5384615384615384
I330;13;33.07692307692308;37.0;25.424599434607746;81;13;7;0.5384615384615384
G6289;13;45.69230769230769;35.0;55.263587492707195;209;13;7;0.5384615384615384
P0715;19;25.736842105263158;36.0;22.1280166939339;52;19;10;0.5263157894736842
P220;49;42.673469387755105;36.0;31.544537136075586;115;49;25;0.5102040816326531
Y92230;12;31.583333333333332;32.0;21.287889571872604;81;12;6;0.5
A4152;20;37.7;34.0;26.123391413585036;87;20;10;0.5
