grupo_final;pacientes_outlier;tipo
E559;192;diagnostico
E43;189;diagnostico
E440;167;diagnostico
I10;165;diagnostico
Z7982;156;diagnostico
N390;129;diagnostico
Z87891;88;diagnostico
Z7901;85;diagnostico
E119;82;diagnostico
K449;82;diagnostico
Z602;81;diagnostico
E7800;80;diagnostico
F17210;80;diagnostico
D649;78;diagnostico
E669;78;diagnostico
B9620;77;diagnostico
E876;75;diagnostico
W19XXXA;72;diagnostico
E538;70;diagnostico
Z7984;61;diagnostico
N183;61;diagnostico
I129;59;diagnostico
D509;59;diagnostico
Z681;58;diagnostico
Z471;58;diagnostico
R1310;57;diagnostico
I4891;57;diagnostico
Z794;56;diagnostico
E860;56;diagnostico
R392;55;diagnostico
30233N1;163;procedimiento
3E0G76Z;119;procedimiento
rare_sec_0;97;procedimiento
0DJ08ZZ;84;procedimiento
3E0436Z;76;procedimiento
0DH67UZ;63;procedimiento
0DB68ZX;62;procedimiento
5A1955Z;61;procedimiento
0T9B70Z;59;procedimiento
F07Z9ZZ;54;procedimiento
0DJD8ZZ;36;procedimiento
05HM33Z;35;procedimiento
0DB98ZX;35;procedimiento
02HV33Z;34;procedimiento
0Y6;34;procedimiento
B24BZZ4;34;procedimiento
30243N1;31;procedimiento
05HY33Z;30;procedimiento
05H533Z;29;procedimiento
3E04305;27;procedimiento
3E0;25;procedimiento
5A09557;25;procedimiento
05HN33Z;24;procedimiento
0HR;23;procedimiento
0SR;22;procedimiento
30233R1;22;procedimiento
5A1221Z;22;procedimiento
8E0ZXY6;22;procedimiento
5A1D60Z;21;procedimiento
0B9;21;procedimiento
