d_code;d_caract_3;d_caract_1;grupo_final;nivel_agrupacion;pacientes_d_code;pacientes_d_caract_3;pacientes_d_caract_1
E6601;E66;E;E6601;codigo_completo;931;2971;6386
Z6841;Z68;Z;Z6841;codigo_completo;374;3466;8356
J984;J98;J;J984;codigo_completo;43;162;2243
I119;I11;I;I119;codigo_completo;237;410;4972
E669;E66;E;E669;codigo_completo;1301;2971;6386
Z6830;Z68;Z;Z6830;codigo_completo;296;3466;8356
S72302E;S72;S;S72;categoria_3_char;1;213;1044
V299XXD;V29;V;rare_cap_V;capitulo_rare;1;8;93
Z6835;Z68;Z;Z6835;codigo_completo;175;3466;8356
E119;E11;E;E119;codigo_completo;1246;1642;6386
Z7984;Z79;Z;Z7984;codigo_completo;929;3270;8356
I10;I10;I;I10;codigo_completo;2484;2484;4972
E785;E78;E;E785;codigo_completo;770;1880;6386
Z7982;Z79;Z;Z7982;codigo_completo;1814;3270;8356
Z428;Z42;Z;Z42;categoria_3_char;15;21;8356
Z9884;Z98;Z;Z9884;codigo_completo;244;474;8356
E65;E65;E;E65;codigo_completo;33;33;6386
L918;L91;L;rare_cap_L;capitulo_rare;12;17;646
E039;E03;E;E039;codigo_completo;584;637;6386
Z886;Z88;Z;Z886;codigo_completo;43;473;8356
Q838;Q83;Q;rare_cap_Q;capitulo_rare;1;1;224
G710;G71;G;rare_cap_G;capitulo_rare;1;16;2475
M8458XA;M84;M;M84;categoria_3_char;9;31;2356
C3412;C34;C;C3412;codigo_completo;41;177;1366
G992;G99;G;rare_cap_G;capitulo_rare;4;4;2475
C7949;C79;C;C79;categoria_3_char;5;232;1366
C7951;C79;C;C7951;codigo_completo;144;232;1366
K209;K20;K;K209;codigo_completo;71;78;3092
E440;E44;E;E440;codigo_completo;825;852;6386
F17210;F17;F;F17210;codigo_completo;1336;1970;2982
R1110;R11;R;R1110;codigo_completo;49;122;2637
K3184;K31;K;K3184;codigo_completo;25;172;3092
S92002S;S92;S;S92;categoria_3_char;2;28;1044
L97221;L97;L;L97;categoria_3_char;1;157;646
B964;B96;B;B964;codigo_completo;54;572;980
