grupo_final;pacientes_unicos
I10;2484
Z7982;1814
F17210;1336
E669;1301
E119;1246
G4733;1111
E7800;1084
Z370;1006
Z87891;949
E6601;931
Z7984;929
E559;897
E440;825
Z7901;794
E43;783
E785;770
E663;701
E039;584
Z955;564
J449;564
K449;538
I4891;445
D649;441
Z794;423
N183;417
N390;416
I129;391
Z8673;379
Z6841;374
E876;369
Z880;366
I2510;362
E860;357
R392;354
W19XXXA;346
Z681;343
K210;338
rare_cap_C;335
rare_cap_M;335
E538;333
Z951;327
F1020;326
I509;319
I259;317
Z3A39;314
rare_cap_N;310
Z6830;296
Z48812;295
J45909;291
F17200;290
O6981X0;280
B9620;276
I480;274
rare_cap_D;272
rare_cap_J;262
Z91041;254
Z3A40;248
D509;248
Z9884;244
Z6831;240
rare_cap_G;238
I119;237
Z3A38;235
Z602;228
J440;227
I252;227
F1021;226
Z8249;225
Z7952;217
E890;215
Z6829;214
Z950;211
F329;210
rare_cap_Q;205
G4730;201
Z85;201
rare_cap_O;201
rare_cap_S;200
Z95828;200
J189;198
rare_cap_R;195
F05;195
J9601;195
rare_cap_I;193
Z6832;190
M5116;189
I482;189
Z6833;187
R1310;186
K5641;184
D6489;181
Y92;179
Z6827;179
Z6828;178
O480;176
rare_cap_K;176
I501;176
R32;176
Z6835;175
I350;175
I110;174
Z95820;174
N184;173
F17211;172
E871;172
N289;171
K5900;170
rare_cap_L;169
E1165;165
Z6834;163
rare_cap_Z;161
C787;158
O709;158
R339;156
M810;156
rare_cap_F;155
rare_cap_T;153
T451X5A;153
Z853;149
D500;147
I255;147
G40909;145
C7951;144
rare_cap_E;144
I70;142
R0683;142
I25118;140
Z7902;139
rare_cap_W;137
G309;135
O700;134
J441;134
M4806;133
K5730;132
S72;130
rare_cap_H;129
Z981;129
R296;129
Z6836;128
Z3A;127
Z9049;127
M1711;127
Y92009;126
B9689;126
R159;125
M1611;125
Z6826;125
R0902;124
S82;123
N179;121
I130;121
E1142;118
Z86711;118
M1712;118
F0280;118
L97;117
Z170;116
O99334;115
N401;114
N186;114
P07;113
J690;113
D631;112
Z5189;112
Z7401;111
O99;111
Z6837;110
L89;107
N182;106
Z9981;106
R6521;106
J9600;106
O80;106
I340;105
I214;105
S42;104
O76;104
K219;104
Z6838;103
rare_cap_P;103
C61;102
I2582;101
I672;101
Z6842;100
R410;100
R262;100
J90;99
R338;99
rare_cap_B;99
K80;99
T502X5A;98
T84;98
R4189;98
K8010;97
Z91;97
Z96642;97
E872;97
I69;96
Z8546;96
F418;95
F0150;95
A419;95
M1612;94
Z87;94
Z471;94
I70203;94
rare_cap_V;93
T814XXA;92
Z483;92
K2950;92
M069;91
E875;91
K7030;90
Z96641;90
Z8672;90
Z3A37;90
Z90;90
W010XXA;90
E1122;89
B961;89
K259;89
I481;88
Z9989;87
F10;87
S52;87
Z96651;87
rare_cap_A;85
C50;85
K2960;84
G20;84
E870;84
Z96652;84
Z01818;83
N800;83
M5117;81
Z923;81
B9561;81
I951;81
Z6839;81
J209;81
Z905;81
O770;80
Z86010;80
D6959;80
J342;80
E8342;79
E042;79
K3189;79
E0590;79
F17290;78
F17201;78
J9621;76
I1310;75
G319;75
Z96643;74
O6014X0;74
M47;73
R197;73
M80;72
Y93;72
D529;72
K4090;72
C772;72
O99214;72
D696;72
T82;72
B952;71
O99824;71
S01;71
K209;71
Z85038;70
R001;70
Z953;70
Z992;70
A4151;70
M62;70
R740;69
Z6825;69
R310;69
I700;69
E46;68
G893;68
B370;68
I120;67
M4726;67
rare_cap_X;67
C79;66
C786;66
I4892;66
M797;66
Z515;65
I2584;65
K8020;65
Z48;65
K3580;65
I959;65
T85;64
Z86718;64
K91;63
G40;63
J180;63
X58XXXA;63
M50;63
K766;63
J32;63
T380X5A;62
Z593;62
E8351;62
M51;62
Z89;61
Z952;61
E10;60
K2970;60
D62;60
I471;60
K4020;60
Z79;60
Z881;60
E611;60
Z85118;60
Z96;60
I63;59
Z86;59
Y92019;59
K2270;59
Z5111;58
K625;58
N2581;58
Z96653;58
I272;58
O34219;57
N13;57
Z16;57
D68;57
Y832;57
C773;57
N185;57
J80;56
M109;56
R94;56
W1830XA;56
E11;56
M75;55
Z9221;55
Y831;55
K432;55
T36;55
K269;55
B964;54
S06;54
I714;54
K760;54
M5136;54
Z48815;54
O34211;54
I447;54
S83;54
Z9119;54
C771;54
O99284;53
K9589;53
Z95810;53
D6481;53
G25;53
G31;52
Z53;52
R000;52
F0390;52
K70;52
Z3800;52
J9811;52
S83512A;51
Z2239;51
rare_cap_Y;51
K635;51
D122;51
B965;51
N81;51
C78;51
R509;51
Z85048;50
C7801;50
M19;50
N189;50
I442;50
N30;50
D291;50
E11319;50
B37;50
N83;49
J181;49
I351;49
T50;49
M2011;49
Z91040;49
K228;49
P220;49
R1110;49
K921;49
K831;49
D539;49
I1311;49
J96;48
K317;48
R1319;48
M353;48
C67;48
K64;48
K429;48
K521;48
O321XX0;48
I517;48
T45515A;47
T81;47
L02;47
R7982;47
C7802;47
N201;47
Y838;47
C9000;47
E1151;47
F419;47
S22;47
K529;47
T402X5A;47
M159;47
I51;46
K22;46
G47;46
Z713;46
F068;46
A4159;46
I519;46
M25;46
N10;46
Y990;46
I83;46
C770;45
C7931;45
Z3A41;45
C778;45
E11621;45
G8191;45
K29;45
O7582;45
D519;45
M86;44
N400;44
T45;44
R10;44
O24;44
M54;44
R188;44
Z93;44
Z8551;44
Z6843;44
I2699;44
D630;44
I97;44
I77;44
Y84;43
I80;43
Z886;43
D61810;43
I49;43
C73;43
J984;43
I67;43
S83511A;42
J320;42
K76;42
I70212;42
I472;42
R5081;42
I8510;42
Z902;42
C7800;42
D701;42
R8271;42
B3781;42
B9681;42
J84;42
O418X30;41
I352;41
G4761;41
M79;41
C3412;41
N99;41
K7031;41
Z88;41
R6520;41
K5669;41
K56;41
M2012;41
Z903;41
O69;41
T46;41
M11;41
R45;40
H409;40
T42;40
I743;40
Z22322;40
G8929;40
K82;40
N200;40
Z79891;40
Z6822;40
W1839XA;40
I70213;40
F1120;39
Z931;39
N170;39
K62;39
P599;39
G9341;39
C3411;39
K55;39
T83;39
I361;39
O36;38
T39;38
C7989;38
I639;38
A41;38
F1220;38
K85;38
F0281;38
I495;38
D123;38
D65;38
F0151;38
Y792;38
Y92239;38
R112;38
E87;38
S32;38
N281;38
I70211;38
K59;38
E790;38
C18;37
O33;37
Z3801;37
I95;37
Z85528;37
G8194;37
T80;37
L409;37
N19;37
Z3A36;37
T310;37
K63;37
J40;37
Y92129;37
C679;37
J15;37
Z9862;37
R41;37
J9602;37
Y92410;37
D73;37
N39;36
R26;36
J101;36
D120;36
D090;36
N393;36
J13;36
H53;36
K57;36
Z80;36
K860;36
Y71;36
K65;36
D125;36
G621;36
Z97;36
C16;36
E21;36
Z63;36
Z888;35
M5106;35
R91;35
E11649;35
Z9079;35
M4316;35
T796XXA;35
K8011;35
J95;35
I6521;35
I71;35
R471;35
C20;35
J310;35
Y95;35
R0600;35
K8000;35
G93;34
H91;34
C3431;34
Z960;34
I82;34
D472;34
I70209;34
I6522;34
I701;34
I42;34
E1121;34
R57;34
I25110;34
J151;34
E662;33
H81;33
R40;33
Y90;33
E65;33
