p_code;p_caract_3;p_caract_1;grupo_final;nivel_agrupacion;pacientes_p_code;pacientes_p_caract_3;pacientes_p_caract_1
0DB64Z3;0DB;0;0DB64Z3;codigo_completo;169;882;9118
0BB64ZZ;0BB;0;0BB;categoria_3_char;1;91;9118
0QP934Z;0QP;0;0QP;categoria_3_char;1;78;9118
0H0V0JZ;0H0;0;rare_sec_0;seccion_rare;4;5;9118
0J0L0ZZ;0J0;0;0J0;categoria_3_char;3;20;9118
0J0L3ZZ;0J0;0;0J0;categoria_3_char;7;20;9118
0J0M0ZZ;0J0;0;0J0;categoria_3_char;3;20;9118
0J0M3ZZ;0J0;0;0J0;categoria_3_char;8;20;9118
0J0N3ZZ;0J0;0;0J0;categoria_3_char;1;20;9118
0J0P3ZZ;0J0;0;0J0;categoria_3_char;2;20;9118
0J083ZZ;0J0;0;0J0;categoria_3_char;8;20;9118
0W0F0ZZ;0W0;0;0W0F0ZZ;codigo_completo;12;12;9118
00NW0ZZ;00N;0;00N;categoria_3_char;6;89;9118
0D1M0Z4;0D1;0;0D1;categoria_3_char;7;166;9118
0D968ZZ;0D9;0;0D9;categoria_3_char;1;104;9118
0DTG0ZZ;0DT;0;0DT;categoria_3_char;7;221;9118
0RG20Z1;0RG;0;0RG;categoria_3_char;1;108;9118
0RG70Z1;0RG;0;0RG;categoria_3_char;1;108;9118
3E04305;3E0;3;3E04305;codigo_completo;127;1527;2182
3E0G76Z;3E0;3;3E0G76Z;codigo_completo;317;1527;2182
5A1955Z;5A1;5;5A1955Z;codigo_completo;102;441;953
8E0ZXY6;8E0;8;8E0ZXY6;codigo_completo;39;94;94
DB021ZZ;DB0;D;rare_sec_D;seccion_rare;4;5;33
0WUF4JZ;0WU;0;0WUF4JZ;codigo_completo;72;119;9118
0SRD0J9;0SR;0;0SRD0J9;codigo_completo;87;525;9118
F07Z9ZZ;F07;F;F07Z9ZZ;codigo_completo;81;112;113
0VT08ZZ;0VT;0;0VT08ZZ;codigo_completo;38;95;9118
00B70ZZ;00B;0;00B;categoria_3_char;9;30;9118
00C40ZZ;00C;0;rare_sec_0;seccion_rare;2;5;9118
039Y3ZZ;039;0;039Y3ZZ;codigo_completo;170;173;9118
05HY33Z;05H;0;05HY33Z;codigo_completo;128;350;9118
0NQ00ZZ;0NQ;0;rare_sec_0;seccion_rare;1;3;9118
0DQE0ZZ;0DQ;0;0DQ;categoria_3_char;5;49;9118
0HRHX74;0HR;0;0HR;categoria_3_char;3;92;9118
0JBL0ZZ;0JB;0;0JB;categoria_3_char;9;103;9118
0JQL0ZZ;0JQ;0;0JQ;categoria_3_char;2;40;9118
0KBN0ZZ;0KB;0;rare_sec_0;seccion_rare;2;11;9118
0KBQ0ZZ;0KB;0;rare_sec_0;seccion_rare;1;11;9118
0KNN0ZZ;0KN;0;rare_sec_0;seccion_rare;1;1;9118
0KNQ0ZZ;0KN;0;rare_sec_0;seccion_rare;1;1;9118
0T2BX0Z;0T2;0;rare_sec_0;seccion_rare;6;15;9118
0WQFXZ2;0WQ;0;0WQFXZ2;codigo_completo;15;165;9118
2W2NX4Z;2W2;2;rare_sec_2;seccion_rare;3;10;53
01NB0ZZ;01N;0;01NB0ZZ;codigo_completo;81;89;9118
02QF0ZZ;02Q;0;rare_sec_0;seccion_rare;1;6;9118
02RX0JZ;02R;0;02R;categoria_3_char;6;75;9118
0DH63UZ;0DH;0;0DH63UZ;codigo_completo;25;271;9118
0DJ08ZZ;0DJ;0;0DJ08ZZ;codigo_completo;365;529;9118
0W3D0ZZ;0W3;0;0W3;categoria_3_char;4;60;9118
0W9B30Z;0W9;0;0W9B30Z;codigo_completo;43;291;9118
30233N1;302;3;30233N1;codigo_completo;641;739;2182
3E0436Z;3E0;3;3E0436Z;codigo_completo;157;1527;2182
5A1221Z;5A1;5;5A1221Z;codigo_completo;168;441;953
6A4Z0ZZ;6A4;6;rare_sec_6;seccion_rare;3;4;72
0DH60UZ;0DH;0;0DH;categoria_3_char;2;271;9118
0DH67UZ;0DH;0;0DH67UZ;codigo_completo;179;271;9118
