modelo,alcance,segmento,tramo_real,metrica,valor,ic95_inf,ic95_sup,n_boot,n
LR,segmento_tramo_real,urgente,3-6,mae,3.962439049919562,2.9593423477837013,5.401992039897098,2000,179
LR,segmento_tramo_real,urgente,3-6,rmse,9.414422484162769,4.350935279101339,14.726030711546093,2000,179
LR,segmento_tramo_real,urgente,3-6,medae,2.4114604571172884,1.924641802808834,2.650797811960588,2000,179
LR,segmento_tramo_real,urgente,3-6,me,1.4814711635579971,0.3237595602556494,3.044139588213015,2000,179
LR,segmento_tramo_real,urgente,3-6,pup,0.5754189944134078,0.5027932960893855,0.6424581005586593,2000,179
LR,segmento_tramo_real,urgente,3-6,mae_asimetrico_alpha_2,5.202922993100344,4.143175249433684,6.64302237189235,2000,179
LR,segmento_tramo_real,urgente,3-6,precision_plos_14,0.0,0.0,0.0,2000,179
LR,segmento_tramo_real,urgente,3-6,recall_plos_14,0.0,0.0,0.0,2000,179
LR,segmento_tramo_real,urgente,3-6,f1_plos_14,0.0,0.0,0.0,2000,179
LR,segmento_tramo_real,urgente,0-2,mae,2.7390581553663167,1.8509674448451863,3.993847529966176,2000,200
LR,segmento_tramo_real,urgente,0-2,rmse,8.273050811864712,3.581777248809809,13.309946318105302,2000,200
LR,segmento_tramo_real,urgente,0-2,medae,0.9854238289507189,0.8114208137659947,1.1787869545536043,2000,200
LR,segmento_tramo_real,urgente,0-2,me,2.352192493895705,1.4253370929057998,3.552380903633191,2000,200
LR,segmento_tramo_real,urgente,0-2,pup,0.275,0.215,0.34,2000,200
LR,segmento_tramo_real,urgente,0-2,mae_asimetrico_alpha_2,2.9324909861016226,2.045075471421931,4.157534027685739,2000,200
LR,segmento_tramo_real,urgente,0-2,precision_plos_14,0.0,0.0,0.0,2000,200
LR,segmento_tramo_real,urgente,0-2,recall_plos_14,0.0,0.0,0.0,2000,200
LR,segmento_tramo_real,urgente,0-2,f1_plos_14,0.0,0.0,0.0,2000,200
LR,segmento_tramo_real,urgente,14+ (PLOS),mae,130.57964168459338,49.37378268846098,225.2933111527849,2000,180
LR,segmento_tramo_real,urgente,14+ (PLOS),rmse,658.5437399330634,199.49307116180609,1006.3480163519091,2000,180
LR,segmento_tramo_real,urgente,14+ (PLOS),medae,15.73259532910414,13.190295492837489,19.796376252884876,2000,180
LR,segmento_tramo_real,urgente,14+ (PLOS),me,108.12761633793903,29.573863754777953,215.8423906156052,2000,180
LR,segmento_tramo_real,urgente,14+ (PLOS),pup,0.65,0.5777777777777777,0.7222222222222222,2000,180
LR,segmento_tramo_real,urgente,14+ (PLOS),mae_asimetrico_alpha_2,141.8056543579206,59.062403895758045,248.37511612962612,2000,180
LR,segmento_tramo_real,urgente,14+ (PLOS),precision_plos_14,1.0,1.0,1.0,2000,180
LR,segmento_tramo_real,urgente,14+ (PLOS),recall_plos_14,0.5055555555555555,0.43333333333333335,0.5777777777777777,2000,180
LR,segmento_tramo_real,urgente,14+ (PLOS),f1_plos_14,0.6715867158671587,0.6046511627906976,0.732394366197183,2000,180
LR,segmento_tramo_real,urgente,7-13,mae,6.075868655088434,4.846939858828241,7.747570357854607,2000,139
LR,segmento_tramo_real,urgente,7-13,rmse,10.697280833842271,6.357036340910402,15.575241810012317,2000,139
LR,segmento_tramo_real,urgente,7-13,medae,4.599768388576297,3.4836171536506924,5.4058719615061515,2000,139
LR,segmento_tramo_real,urgente,7-13,me,-0.04854393219994233,-1.6623510081985504,1.8886656350558666,2000,139
LR,segmento_tramo_real,urgente,7-13,pup,0.6762589928057554,0.5971223021582733,0.7553956834532374,2000,139
LR,segmento_tramo_real,urgente,7-13,mae_asimetrico_alpha_2,9.138074948732621,7.714362145629923,10.811868426103045,2000,139
LR,segmento_tramo_real,urgente,7-13,precision_plos_14,0.0,0.0,0.0,2000,139
LR,segmento_tramo_real,urgente,7-13,recall_plos_14,0.0,0.0,0.0,2000,139
LR,segmento_tramo_real,urgente,7-13,f1_plos_14,0.0,0.0,0.0,2000,139
LR,segmento_tramo_real,programado,0-2,mae,0.6773339139032009,0.5970368920310098,0.7664645869542299,2000,983
LR,segmento_tramo_real,programado,0-2,rmse,1.4547635393112346,1.136417013186861,1.7997414545135615,2000,983
LR,segmento_tramo_real,programado,0-2,medae,0.32724630421565315,0.284349505634798,0.35670574289182433,2000,983
LR,segmento_tramo_real,programado,0-2,me,0.44908361234155303,0.3662423958533471,0.5414796053786421,2000,983
