modelo,alcance,segmento,tramo_real,metrica,valor,ic95_inf,ic95_sup,n_boot,n
LR,tramo_real,todos,0-2,mae,1.0258925346070242,0.8532246624351392,1.2358007505973816,2000,1183
LR,tramo_real,todos,0-2,rmse,3.6509859452087348,1.96830990718323,5.536449140957912,2000,1183
LR,tramo_real,todos,0-2,medae,0.4108021836417768,0.3565053167772219,0.43936617492439156,2000,1183
LR,tramo_real,todos,0-2,me,0.7708264494597529,0.5891163841499882,0.9941813550323316,2000,1183
LR,tramo_real,todos,0-2,pup,0.35756551141166526,0.33136094674556216,0.3863060016906171,2000,1183
LR,tramo_real,todos,0-2,mae_asimetrico_alpha_2,1.15342557718066,0.9789227798583819,1.3739932126505139,2000,1183
LR,tramo_real,todos,0-2,precision_plos_14,0.0,0.0,0.0,2000,1183
LR,tramo_real,todos,0-2,recall_plos_14,0.0,0.0,0.0,2000,1183
LR,tramo_real,todos,0-2,f1_plos_14,0.0,0.0,0.0,2000,1183
LR,tramo_real,todos,3-6,mae,2.402002879851225,1.9869874127431162,2.9155647775560998,2000,680
LR,tramo_real,todos,3-6,rmse,6.553152424647792,4.008483760234757,8.93523730642352,2000,680
LR,tramo_real,todos,3-6,medae,1.1640695565608037,1.0398552061158792,1.2870075481746426,2000,680
LR,tramo_real,todos,3-6,me,0.6364721349991307,0.19461917621607752,1.2043474509770027,2000,680
LR,tramo_real,todos,3-6,pup,0.6132352941176471,0.5764705882352941,0.648566176470588,2000,680
LR,tramo_real,todos,3-6,mae_asimetrico_alpha_2,3.284768252277272,2.8694341627852564,3.7899145080298773,2000,680
LR,tramo_real,todos,3-6,precision_plos_14,0.0,0.0,0.0,2000,680
LR,tramo_real,todos,3-6,recall_plos_14,0.0,0.0,0.0,2000,680
LR,tramo_real,todos,3-6,f1_plos_14,0.0,0.0,0.0,2000,680
LR,tramo_real,todos,7-13,mae,5.630138725457036,4.703745694140216,6.7636056060841705,2000,249
LR,tramo_real,todos,7-13,rmse,10.043683796938598,6.341586479690221,13.958307272995647,2000,249
LR,tramo_real,todos,7-13,medae,4.396499102328592,3.6371391894550262,4.792002692177041,2000,249
LR,tramo_real,todos,7-13,me,-0.8013936761060663,-1.9659369902921389,0.44173589994381696,2000,249
LR,tramo_real,todos,7-13,pup,0.7108433734939759,0.6506024096385542,0.7670682730923695,2000,249
LR,tramo_real,todos,7-13,mae_asimetrico_alpha_2,8.84590492623859,7.792714840259337,10.05074147245572,2000,249
LR,tramo_real,todos,7-13,precision_plos_14,0.0,0.0,0.0,2000,249
LR,tramo_real,todos,7-13,recall_plos_14,0.0,0.0,0.0,2000,249
LR,tramo_real,todos,7-13,f1_plos_14,0.0,0.0,0.0,2000,249
LR,tramo_real,todos,14+ (PLOS),mae,96.79500377475395,45.15619695043363,166.89504862660235,2000,279
LR,tramo_real,todos,14+ (PLOS),rmse,530.2061789762647,167.85279040467844,803.0958076419632,2000,279
LR,tramo_real,todos,14+ (PLOS),medae,16.156460719340433,13.88079108721015,19.20853187458181,2000,279
LR,tramo_real,todos,14+ (PLOS),me,72.7820691897836,22.161814155509575,138.95982976623944,2000,279
LR,tramo_real,todos,14+ (PLOS),pup,0.6487455197132617,0.5913978494623656,0.7060931899641577,2000,279
LR,tramo_real,todos,14+ (PLOS),mae_asimetrico_alpha_2,108.80147106723915,56.56892792103594,179.0719588334112,2000,279
