modelo,alcance,segmento,tramo_real,metrica,valor,ic95_inf,ic95_sup,n_boot,n
LR,tramo_real,todos,0-2,mae,2.7390581553663167,1.8514303422272895,4.034348952067926,2000,200
LR,tramo_real,todos,0-2,rmse,8.273050811864712,3.5813151619322854,12.935246433129501,2000,200
LR,tramo_real,todos,0-2,medae,0.9854238289507189,0.8113408445885741,1.1787869545536043,2000,200
LR,tramo_real,todos,0-2,me,2.352192493895705,1.4414567653146781,3.63437649623937,2000,200
LR,tramo_real,todos,0-2,pup,0.275,0.215,0.335,2000,200
LR,tramo_real,todos,0-2,mae_asimetrico_alpha_2,2.9324909861016226,2.0355330007545254,4.145180810048257,2000,200
LR,tramo_real,todos,0-2,precision_plos_14,0.0,0.0,0.0,2000,200
LR,tramo_real,todos,0-2,recall_plos_14,0.0,0.0,0.0,2000,200
LR,tramo_real,todos,0-2,f1_plos_14,0.0,0.0,0.0,2000,200
LR,tramo_real,todos,3-6,mae,3.962439049919562,2.8901353774611214,5.402268203052356,2000,179
LR,tramo_real,todos,3-6,rmse,9.414422484162769,4.292390029617441,14.626373271877107,2000,179
LR,tramo_real,todos,3-6,medae,2.4114604571172884,1.924641802808834,2.650797811960588,2000,179
LR,tramo_real,todos,3-6,me,1.4814711635579971,0.298399795540545,3.0347340455326535,2000,179
LR,tramo_real,todos,3-6,pup,0.5754189944134078,0.5027932960893855,0.6424581005586593,2000,179
LR,tramo_real,todos,3-6,mae_asimetrico_alpha_2,5.202922993100344,4.163838421928266,6.613671930187215,2000,179
LR,tramo_real,todos,3-6,precision_plos_14,0.0,0.0,0.0,2000,179
LR,tramo_real,todos,3-6,recall_plos_14,0.0,0.0,0.0,2000,179
LR,tramo_real,todos,3-6,f1_plos_14,0.0,0.0,0.0,2000,179
LR,tramo_real,todos,7-13,mae,6.075868655088434,4.870479957235375,7.65343288976764,2000,139
LR,tramo_real,todos,7-13,rmse,10.697280833842271,6.35148703843802,15.697445742122383,2000,139
LR,tramo_real,todos,7-13,medae,4.599768388576297,3.4836171536506924,5.420409923898703,2000,139
LR,tramo_real,todos,7-13,me,-0.04854393219994233,-1.7433127796594297,1.8680014505326827,2000,139
LR,tramo_real,todos,7-13,pup,0.6762589928057554,0.5971223021582733,0.7553956834532374,2000,139
LR,tramo_real,todos,7-13,mae_asimetrico_alpha_2,9.138074948732621,7.764010268160564,10.82137948617099,2000,139
LR,tramo_real,todos,7-13,precision_plos_14,0.0,0.0,0.0,2000,139
LR,tramo_real,todos,7-13,recall_plos_14,0.0,0.0,0.0,2000,139
LR,tramo_real,todos,7-13,f1_plos_14,0.0,0.0,0.0,2000,139
LR,tramo_real,todos,14+ (PLOS),mae,130.57964168459338,48.49745661737663,231.30064137745742,2000,180
LR,tramo_real,todos,14+ (PLOS),rmse,658.5437399330634,188.62724672227316,1010.3163816783348,2000,180
LR,tramo_real,todos,14+ (PLOS),medae,15.73259532910414,13.352363495983594,19.83441906722897,2000,180
LR,tramo_real,todos,14+ (PLOS),me,108.12761633793903,24.720471841423077,210.22380092428406,2000,180
LR,tramo_real,todos,14+ (PLOS),pup,0.65,0.5777777777777777,0.7112499999999993,2000,180
LR,tramo_real,todos,14+ (PLOS),mae_asimetrico_alpha_2,141.8056543579206,61.53654965118141,245.97824316558646,2000,180
LR,tramo_real,todos,14+ (PLOS),precision_plos_14,1.0,1.0,1.0,2000,180
LR,tramo_real,todos,14+ (PLOS),recall_plos_14,0.5055555555555555,0.42777777777777776,0.5777777777777777,2000,180
LR,tramo_real,todos,14+ (PLOS),f1_plos_14,0.6715867158671587,0.6046511627906976,0.732394366197183,2000,180
XGB,tramo_real,todos,0-2,mae,1.8946426087500001,1.5529389090625,2.26931251468125,2000,200
XGB,tramo_real,todos,0-2,rmse,3.2613249389418932,2.325932761512063,4.143841296985896,2000,200
XGB,tramo_real,todos,0-2,medae,1.0597388,0.8279594974999999,1.3005309999999999,2000,200
XGB,tramo_real,todos,0-2,me,1.79413298325,1.44909912400625,2.1650056061125,2000,200
XGB,tramo_real,todos,0-2,pup,0.105,0.065,0.15,2000,200
XGB,tramo_real,todos,0-2,mae_asimetrico_alpha_2,1.9448974215,1.6067793418625003,2.3290350255875,2000,200
XGB,tramo_real,todos,0-2,precision_plos_14,0.0,0.0,0.0,2000,200
XGB,tramo_real,todos,0-2,recall_plos_14,0.0,0.0,0.0,2000,200
XGB,tramo_real,todos,0-2,f1_plos_14,0.0,0.0,0.0,2000,200
XGB,tramo_real,todos,3-6,mae,2.3942955329608937,1.9538697174162012,2.8995954140223463,2000,179
XGB,tramo_real,todos,3-6,rmse,3.970708330875734,3.0510481442220994,4.889050084300637,2000,179
XGB,tramo_real,todos,3-6,medae,1.459009,1.1436219999999997,1.7774687,2000,179
XGB,tramo_real,todos,3-6,me,0.6311155977653632,0.05234141564245813,1.2564843024720664,2000,179
XGB,tramo_real,todos,3-6,pup,0.5810055865921788,0.5083798882681564,0.6536312849162011,2000,179
XGB,tramo_real,todos,3-6,mae_asimetrico_alpha_2,3.2758855005586587,2.814957688519553,3.7927919951256976,2000,179
XGB,tramo_real,todos,3-6,precision_plos_14,0.0,0.0,0.0,2000,179
XGB,tramo_real,todos,3-6,recall_plos_14,0.0,0.0,0.0,2000,179
XGB,tramo_real,todos,3-6,f1_plos_14,0.0,0.0,0.0,2000,179
XGB,tramo_real,todos,7-13,mae,3.8933502525179855,3.4857430011510795,4.334437118543165,2000,139
XGB,tramo_real,todos,7-13,rmse,4.653886148988881,4.109749036284971,5.161776600397577,2000,139
XGB,tramo_real,todos,7-13,medae,3.485024,2.9764265825000003,3.8506837000000003,2000,139
XGB,tramo_real,todos,7-13,me,-1.2728370395683455,-2.0001579266906475,-0.4740890467805754,2000,139
XGB,tramo_real,todos,7-13,pup,0.6690647482014388,0.5899280575539568,0.7482014388489209,2000,139
XGB,tramo_real,todos,7-13,mae_asimetrico_alpha_2,6.476443898561151,5.778615045161871,7.208500872176258,2000,139
XGB,tramo_real,todos,7-13,precision_plos_14,0.0,0.0,0.0,2000,139
XGB,tramo_real,todos,7-13,recall_plos_14,0.0,0.0,0.0,2000,139
XGB,tramo_real,todos,7-13,f1_plos_14,0.0,0.0,0.0,2000,139
XGB,tramo_real,todos,14+ (PLOS),mae,13.225735753888891,11.369995259402778,15.312196516055554,2000,180
XGB,tramo_real,todos,14+ (PLOS),rmse,18.800729984081507,14.74917151956442,22.86796313478617,2000,180
XGB,tramo_real,todos,14+ (PLOS),medae,10.47771985,8.8053435,11.7028545,2000,180
XGB,tramo_real,todos,14+ (PLOS),me,-8.705373609444445,-11.146217774222222,-6.280356648388892,2000,180
XGB,tramo_real,todos,14+ (PLOS),pup,0.7944444444444444,0.7333333333333333,0.8555555555555555,2000,180
XGB,tramo_real,todos,14+ (PLOS),mae_asimetrico_alpha_2,24.191290435555555,20.606595373305556,28.075040733638886,2000,180
XGB,tramo_real,todos,14+ (PLOS),precision_plos_14,1.0,1.0,1.0,2000,180
XGB,tramo_real,todos,14+ (PLOS),recall_plos_14,0.5666666666666667,0.49444444444444446,0.6388888888888888,2000,180
XGB,tramo_real,todos,14+ (PLOS),f1_plos_14,0.7234042553191489,0.6617100371747212,0.7837837837837839,2000,180
