modelo,alcance,segmento,tramo_real,metrica,valor,ic95_inf,ic95_sup,n_boot,n,segmento_folder,segmento_key,segmento_label
LR,tramo_real,todos,0-2,f1_plos_14,0.0,0.0,0.0,2000,983,no_urgencia,programado,No urgencia
LR,tramo_real,todos,0-2,mae,0.6773339139032009,0.6039317247504473,0.761836079157576,2000,983,no_urgencia,programado,No urgencia
LR,tramo_real,todos,0-2,mae_asimetrico_alpha_2,0.7914590646840246,0.7108375833545004,0.879281432565595,2000,983,no_urgencia,programado,No urgencia
LR,tramo_real,todos,0-2,me,0.449083612341553,0.3680531239476884,0.5395436236998865,2000,983,no_urgencia,programado,No urgencia
LR,tramo_real,todos,0-2,medae,0.3272463042156531,0.2829680706047522,0.3567057428918243,2000,983,no_urgencia,programado,No urgencia
LR,tramo_real,todos,0-2,precision_plos_14,0.0,0.0,0.0,2000,983,no_urgencia,programado,No urgencia
LR,tramo_real,todos,0-2,pup,0.3743641912512716,0.34587995930824,0.4049084435401829,2000,983,no_urgencia,programado,No urgencia
LR,tramo_real,todos,0-2,recall_plos_14,0.0,0.0,0.0,2000,983,no_urgencia,programado,No urgencia
LR,tramo_real,todos,0-2,rmse,1.4547635393112346,1.146908126552382,1.791099898991236,2000,983,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,0-2,f1_plos_14,0.0,0.0,0.0,2000,983,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,0-2,mae,0.5694763659043743,0.5217117504256359,0.6238965617564598,2000,983,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,0-2,mae_asimetrico_alpha_2,0.613023159560529,0.5630577067939979,0.6645672394094608,2000,983,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,0-2,me,0.4823827785920651,0.430204224893591,0.5414410309739572,2000,983,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,0-2,medae,0.4322729999999999,0.4046855,0.4550878,2000,983,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,0-2,precision_plos_14,0.0,0.0,0.0,2000,983,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,0-2,pup,0.1851475076297049,0.1607324516785351,0.2085452695829094,2000,983,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,0-2,recall_plos_14,0.0,0.0,0.0,2000,983,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,0-2,rmse,0.9986532254893156,0.8068621929589112,1.222070102237967,2000,983,no_urgencia,programado,No urgencia
LR,tramo_real,todos,3-6,f1_plos_14,0.0,0.0,0.0,2000,501,no_urgencia,programado,No urgencia
LR,tramo_real,todos,3-6,mae,1.8444817731801029,1.4454126821985762,2.285868974845848,2000,501,no_urgencia,programado,No urgencia
LR,tramo_real,todos,3-6,mae_asimetrico_alpha_2,2.599439512542083,2.2055426402238356,3.060215204419973,2000,501,no_urgencia,programado,No urgencia
LR,tramo_real,todos,3-6,me,0.3345662944561424,-0.0839739294723663,0.8162705325019609,2000,501,no_urgencia,programado,No urgencia
LR,tramo_real,todos,3-6,medae,0.9089786624050792,0.7896570426096865,1.030738825902332,2000,501,no_urgencia,programado,No urgencia
LR,tramo_real,todos,3-6,precision_plos_14,0.0,0.0,0.0,2000,501,no_urgencia,programado,No urgencia
LR,tramo_real,todos,3-6,pup,0.626746506986028,0.5828343313373253,0.6686626746506986,2000,501,no_urgencia,programado,No urgencia
LR,tramo_real,todos,3-6,recall_plos_14,0.0,0.0,0.0,2000,501,no_urgencia,programado,No urgencia
LR,tramo_real,todos,3-6,rmse,5.159487661846975,2.986985488111166,6.906481430298394,2000,501,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,3-6,f1_plos_14,0.0,0.0,0.0,2000,501,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,3-6,mae,1.2707929275449104,1.1467526089021955,1.399940991781437,2000,501,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,3-6,mae_asimetrico_alpha_2,2.170607378043912,1.985564753942116,2.3583429306936132,2000,501,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,3-6,me,-0.5288359734530937,-0.6846046366866267,-0.359763829231537,2000,501,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,3-6,medae,0.9065719999999996,0.8255007474999998,0.9847302,2000,501,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,3-6,precision_plos_14,0.0,0.0,0.0,2000,501,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,3-6,pup,0.7245508982035929,0.6846307385229541,0.7624750499001997,2000,501,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,3-6,recall_plos_14,0.0,0.0,0.0,2000,501,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,3-6,rmse,1.9367729833890857,1.6496973104400752,2.221752085510232,2000,501,no_urgencia,programado,No urgencia
LR,tramo_real,todos,7-13,f1_plos_14,0.0,0.0,0.0,2000,110,no_urgencia,programado,No urgencia
LR,tramo_real,todos,7-13,mae,5.066898178013726,3.913430458981644,6.565769052877051,2000,110,no_urgencia,programado,No urgencia
LR,tramo_real,todos,7-13,mae_asimetrico_alpha_2,8.476708261450675,7.060547532830581,10.251101267651718,2000,110,no_urgencia,programado,No urgencia
LR,tramo_real,todos,7-13,me,-1.7527219888601682,-3.1125499533563037,0.1268698187072628,2000,110,no_urgencia,programado,No urgencia
LR,tramo_real,todos,7-13,medae,4.2625419145073264,3.2276861567554302,4.720524720691835,2000,110,no_urgencia,programado,No urgencia
LR,tramo_real,todos,7-13,precision_plos_14,0.0,0.0,0.0,2000,110,no_urgencia,programado,No urgencia
LR,tramo_real,todos,7-13,pup,0.7545454545454545,0.6727272727272727,0.8363636363636363,2000,110,no_urgencia,programado,No urgencia
LR,tramo_real,todos,7-13,recall_plos_14,0.0,0.0,0.0,2000,110,no_urgencia,programado,No urgencia
LR,tramo_real,todos,7-13,rmse,9.151253204250942,4.839276346994223,14.047190453567415,2000,110,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,7-13,f1_plos_14,0.0,0.0,0.0,2000,110,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,7-13,mae,4.36023607,3.806100041204546,4.9050665688863635,2000,110,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,7-13,mae_asimetrico_alpha_2,7.731055394545454,6.788771812909092,8.665128600499997,2000,110,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,7-13,me,-2.38140257909091,-3.2012073169545454,-1.4720502715909094,2000,110,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,7-13,medae,3.9220148,3.2125949499999997,4.31223335,2000,110,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,7-13,precision_plos_14,0.0,0.0,0.0,2000,110,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,7-13,pup,0.7818181818181819,0.7090909090909091,0.8545454545454545,2000,110,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,7-13,recall_plos_14,0.0,0.0,0.0,2000,110,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,7-13,rmse,5.24469578616054,4.626432038277367,5.910540822063769,2000,110,no_urgencia,programado,No urgencia
LR,tramo_real,todos,14+ (PLOS),f1_plos_14,0.7058823529411764,0.6153846153846153,0.7852760736196319,2000,99,no_urgencia,programado,No urgencia
LR,tramo_real,todos,14+ (PLOS),mae,35.36838939322771,26.13462010359988,45.56168298936537,2000,99,no_urgencia,programado,No urgencia
LR,tramo_real,todos,14+ (PLOS),mae_asimetrico_alpha_2,48.793865084181974,38.51355382346613,59.75104735261306,2000,99,no_urgencia,programado,No urgencia
LR,tramo_real,todos,14+ (PLOS),me,8.517438011319157,-2.5245324996721745,21.009178568122305,2000,99,no_urgencia,programado,No urgencia
LR,tramo_real,todos,14+ (PLOS),medae,16.664395429951995,11.633779973860284,23.1520478870926,2000,99,no_urgencia,programado,No urgencia
LR,tramo_real,todos,14+ (PLOS),precision_plos_14,1.0,1.0,1.0,2000,99,no_urgencia,programado,No urgencia
LR,tramo_real,todos,14+ (PLOS),pup,0.6464646464646465,0.5555555555555556,0.7373737373737373,2000,99,no_urgencia,programado,No urgencia
LR,tramo_real,todos,14+ (PLOS),recall_plos_14,0.5454545454545454,0.4444444444444444,0.6464646464646465,2000,99,no_urgencia,programado,No urgencia
LR,tramo_real,todos,14+ (PLOS),rmse,61.11034048967778,42.46356609177164,79.62160341119052,2000,99,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,14+ (PLOS),f1_plos_14,0.7701863354037267,0.6971527535726734,0.8352941176470587,2000,99,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,14+ (PLOS),mae,14.472726076767676,11.683886430732324,17.839297265353533,2000,99,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,14+ (PLOS),mae_asimetrico_alpha_2,26.639488870707073,21.0383831439899,33.10209010919191,2000,99,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,14+ (PLOS),me,-9.86079951111111,-14.000151065050506,-6.440264033762628,2000,99,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,14+ (PLOS),medae,10.485923999999995,8.064747,12.731096,2000,99,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,14+ (PLOS),precision_plos_14,1.0,1.0,1.0,2000,99,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,14+ (PLOS),pup,0.7777777777777778,0.696969696969697,0.8585858585858586,2000,99,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,14+ (PLOS),recall_plos_14,0.6262626262626263,0.5252525252525253,0.7073232323232309,2000,99,no_urgencia,programado,No urgencia
XGB,tramo_real,todos,14+ (PLOS),rmse,21.40049265085305,15.752428079009114,27.267887659785295,2000,99,no_urgencia,programado,No urgencia
LR,tramo_real,todos,0-2,f1_plos_14,0.0,0.0,0.0,2000,200,urgente,urgente,Urgencia
LR,tramo_real,todos,0-2,mae,2.7390581553663167,1.8514303422272895,4.034348952067926,2000,200,urgente,urgente,Urgencia
LR,tramo_real,todos,0-2,mae_asimetrico_alpha_2,2.9324909861016226,2.035533000754526,4.145180810048257,2000,200,urgente,urgente,Urgencia
LR,tramo_real,todos,0-2,me,2.352192493895705,1.441456765314678,3.63437649623937,2000,200,urgente,urgente,Urgencia
LR,tramo_real,todos,0-2,medae,0.9854238289507188,0.8113408445885741,1.1787869545536045,2000,200,urgente,urgente,Urgencia
LR,tramo_real,todos,0-2,precision_plos_14,0.0,0.0,0.0,2000,200,urgente,urgente,Urgencia
LR,tramo_real,todos,0-2,pup,0.275,0.215,0.335,2000,200,urgente,urgente,Urgencia
LR,tramo_real,todos,0-2,recall_plos_14,0.0,0.0,0.0,2000,200,urgente,urgente,Urgencia
LR,tramo_real,todos,0-2,rmse,8.273050811864712,3.5813151619322854,12.9352464331295,2000,200,urgente,urgente,Urgencia
XGB,tramo_real,todos,0-2,f1_plos_14,0.0,0.0,0.0,2000,200,urgente,urgente,Urgencia
XGB,tramo_real,todos,0-2,mae,1.89464260875,1.5529389090625,2.26931251468125,2000,200,urgente,urgente,Urgencia
XGB,tramo_real,todos,0-2,mae_asimetrico_alpha_2,1.9448974215,1.6067793418625005,2.3290350255875,2000,200,urgente,urgente,Urgencia
XGB,tramo_real,todos,0-2,me,1.79413298325,1.44909912400625,2.1650056061125,2000,200,urgente,urgente,Urgencia
XGB,tramo_real,todos,0-2,medae,1.0597388,0.8279594974999999,1.300531,2000,200,urgente,urgente,Urgencia
XGB,tramo_real,todos,0-2,precision_plos_14,0.0,0.0,0.0,2000,200,urgente,urgente,Urgencia
XGB,tramo_real,todos,0-2,pup,0.105,0.065,0.15,2000,200,urgente,urgente,Urgencia
XGB,tramo_real,todos,0-2,recall_plos_14,0.0,0.0,0.0,2000,200,urgente,urgente,Urgencia
XGB,tramo_real,todos,0-2,rmse,3.2613249389418932,2.325932761512063,4.143841296985896,2000,200,urgente,urgente,Urgencia
LR,tramo_real,todos,3-6,f1_plos_14,0.0,0.0,0.0,2000,179,urgente,urgente,Urgencia
LR,tramo_real,todos,3-6,mae,3.962439049919562,2.890135377461122,5.402268203052356,2000,179,urgente,urgente,Urgencia
LR,tramo_real,todos,3-6,mae_asimetrico_alpha_2,5.202922993100344,4.163838421928266,6.613671930187215,2000,179,urgente,urgente,Urgencia
LR,tramo_real,todos,3-6,me,1.4814711635579971,0.298399795540545,3.0347340455326535,2000,179,urgente,urgente,Urgencia
LR,tramo_real,todos,3-6,medae,2.4114604571172884,1.924641802808834,2.650797811960588,2000,179,urgente,urgente,Urgencia
LR,tramo_real,todos,3-6,precision_plos_14,0.0,0.0,0.0,2000,179,urgente,urgente,Urgencia
LR,tramo_real,todos,3-6,pup,0.5754189944134078,0.5027932960893855,0.6424581005586593,2000,179,urgente,urgente,Urgencia
LR,tramo_real,todos,3-6,recall_plos_14,0.0,0.0,0.0,2000,179,urgente,urgente,Urgencia
LR,tramo_real,todos,3-6,rmse,9.414422484162769,4.292390029617441,14.626373271877108,2000,179,urgente,urgente,Urgencia
XGB,tramo_real,todos,3-6,f1_plos_14,0.0,0.0,0.0,2000,179,urgente,urgente,Urgencia
XGB,tramo_real,todos,3-6,mae,2.3942955329608937,1.9538697174162012,2.8995954140223463,2000,179,urgente,urgente,Urgencia
XGB,tramo_real,todos,3-6,mae_asimetrico_alpha_2,3.2758855005586587,2.814957688519553,3.7927919951256976,2000,179,urgente,urgente,Urgencia
XGB,tramo_real,todos,3-6,me,0.6311155977653632,0.0523414156424581,1.2564843024720664,2000,179,urgente,urgente,Urgencia
XGB,tramo_real,todos,3-6,medae,1.459009,1.1436219999999997,1.7774687,2000,179,urgente,urgente,Urgencia
XGB,tramo_real,todos,3-6,precision_plos_14,0.0,0.0,0.0,2000,179,urgente,urgente,Urgencia
XGB,tramo_real,todos,3-6,pup,0.5810055865921788,0.5083798882681564,0.6536312849162011,2000,179,urgente,urgente,Urgencia
XGB,tramo_real,todos,3-6,recall_plos_14,0.0,0.0,0.0,2000,179,urgente,urgente,Urgencia
XGB,tramo_real,todos,3-6,rmse,3.970708330875734,3.0510481442220994,4.889050084300637,2000,179,urgente,urgente,Urgencia
LR,tramo_real,todos,7-13,f1_plos_14,0.0,0.0,0.0,2000,139,urgente,urgente,Urgencia
LR,tramo_real,todos,7-13,mae,6.075868655088434,4.870479957235375,7.65343288976764,2000,139,urgente,urgente,Urgencia
