modelo,fold,n_casos,mae,rmse,medae,me,pup,mae_asimetrico_alpha_2,pct_error_abs_le_1d,pct_error_abs_le_3d,pct_error_abs_le_7d,los_real_promedio,los_pred_promedio,umbral_plos,n_plos_real,n_plos_pred,precision_plos_14,recall_plos_14,f1_plos_14,accuracy_plos_14,tn_plos_14,fp_plos_14,fn_plos_14,tp_plos_14
LR,1,1913,40.245201449226165,723.3834792257088,1.0,35.42956641561094,0.5033978044955567,42.65301896603378,0.5023523261892315,0.7156299006795609,0.8316779926816519,6.447987454260324,41.87755386987127,14,223,200,0.59,0.5291479820627802,0.5579196217494089,0.902247778358599,1608,82,105,118
LR,2,1913,1316.1893117039047,36205.97340536022,1.0,1312.1161102343742,0.5039205436487193,1318.2259124386696,0.5013068478829065,0.7250392054364871,0.8353371667537899,6.360690015682175,1318.4768002500564,14,224,208,0.6009615384615384,0.5580357142857143,0.5787037037037037,0.9048614741244119,1606,83,99,125
LR,3,1912,195.46400593996879,7779.818622571523,1.0528188006471146,190.93449924976358,0.48797071129707115,197.72875928507142,0.4895397489539749,0.7128661087866108,0.821652719665272,6.860355648535565,197.79485489829915,14,224,226,0.5707964601769911,0.5758928571428571,0.5733333333333334,0.899581589958159,1591,97,95,129
LR,4,1911,31.462080323886276,487.0707409711378,0.9760355680637167,26.825959183264583,0.4620617477760335,33.780140894197125,0.5096807953950812,0.7127158555729984,0.8325484039769754,6.512297226582941,33.338256409847524,14,223,221,0.5248868778280543,0.5201793721973094,0.5225225225225224,0.8890633176347462,1583,105,107,116
LR,5,1911,24.99393623606437,440.9155951699392,1.0016466264151211,20.899365549423518,0.4908424908424908,27.041221579384796,0.49973835688121404,0.7268445839874411,0.8294086865515437,6.379905808477237,27.279271357900754,14,223,225,0.5422222222222223,0.547085201793722,0.5446428571428571,0.8932496075353218,1585,103,101,122
RF,1,1913,3.196621032368957,9.62591217250403,0.9141678306652019,-1.5023950041592748,0.494511238891793,5.5461290506330725,0.5279665446941976,0.7731312075274438,0.8996340825927862,6.447987454260324,4.94559245010105,14,223,143,0.8251748251748252,0.5291479820627802,0.6448087431693988,0.9320439100888657,1665,25,105,118
RF,2,1913,3.2098203155640244,8.822922808109494,0.8991976457766628,-1.4429094375301632,0.4814427600627287,5.536185192111118,0.5410350235232619,0.7715629900679561,0.8881338212232096,6.360690015682175,4.917780578152011,14,224,158,0.7721518987341772,0.5446428571428571,0.6387434554973822,0.9278619968635651,1653,36,102,122
RF,3,1912,3.5796717510897147,9.952775159803492,0.9478413678460458,-1.730968094334435,0.49843096234309625,6.2349916738017885,0.5120292887029289,0.75418410041841,0.8812761506276151,6.860355648535565,5.129387554201129,14,224,157,0.8089171974522293,0.5669642857142857,0.6666666666666667,0.9335774058577406,1658,30,97,127
RF,4,1911,3.401366343213301,10.440380795377497,0.930809396305178,-1.6273047878878637,0.46153846153846156,5.915701908763883,0.5342752485609629,0.7587650444793302,0.8859236002093145,6.512297226582941,4.884992438695078,14,223,153,0.7516339869281046,0.515695067264574,0.6117021276595745,0.923600209314495,1650,38,108,115
RF,5,1911,3.1991243643158804,9.717480802025387,0.9062626516796775,-1.5292818710491392,0.47566718995290425,5.56332748199839,0.5463108320251178,0.782312925170068,0.8958660387231816,6.379905808477237,4.850623937428098,14,223,136,0.8014705882352942,0.48878923766816146,0.607242339832869,0.9262166405023547,1661,27,114,109
XGB,1,1913,3.074438829494906,7.90704397127824,0.9118344783782959,-1.0700387387797898,0.47046523784631467,5.146677613632254,0.5284892838473602,0.7835859905906952,0.89022477783586,6.447987454260324,5.377948715480534,14,223,175,0.7885714285714286,0.6188340807174888,0.693467336683417,0.9362258233141663,1653,37,85,138
XGB,2,1913,2.992710466386134,7.81628961621468,0.8664162158966064,-1.0979478671110805,0.4495556717198118,5.0380396331347415,0.5389440669106116,0.7731312075274438,0.894929430214323,6.360690015682175,5.262742148571094,14,224,167,0.7724550898203593,0.5758928571428571,0.659846547314578,0.9304756926293779,1651,38,95,129
XGB,3,1912,3.2478739398543306,8.292525349190948,0.9171297550201416,-1.3853980475514505,0.47489539748953974,5.564509933557221,0.5298117154811716,0.7630753138075314,0.8849372384937239,6.860355648535565,5.474957600984115,14,224,186,0.7849462365591398,0.6517857142857143,0.7121951219512195,0.9382845188284519,1648,40,78,146
XGB,4,1911,3.216914560207205,9.370142714414056,0.8764491081237793,-1.2106201183353027,0.42700156985871274,5.43068189947846,0.5400313971742543,0.7692307692307693,0.8859236002093145,6.512297226582941,5.301677108247638,14,223,190,0.7263157894736842,0.6188340807174888,0.6682808716707022,0.9283097854526426,1636,52,85,138
XGB,5,1911,2.971484834270787,8.297856698136643,0.8615868091583252,-1.1250449443350032,0.46991104133961276,5.019749723573682,0.5473574045002616,0.7891156462585034,0.9010989010989011,6.379905808477237,5.254860864142234,14,223,169,0.7928994082840237,0.600896860986547,0.6836734693877551,0.9351125065410779,1653,35,89,134
