feature,importance,segmento,importance_type,rank,importance_pct,n_features_modelo
prob_los_14,3097.684326171875,programado,cover,196,0.002644151643434184,1652
prob_los_14,0.08222451061010361,programado,feature_importances_attr,1,0.0822245180606842,1652
prob_los_14,62.05305480957031,programado,gain,1,0.08222451788446858,1652
prob_los_14,696979.0,programado,total_cover,1,0.06255144719870565,1652
prob_los_14,13961.9375,programado,total_gain,1,0.541869310375301,1652
prob_los_14,225.0,programado,weight,1,0.08131550415612576,1652
prob_los_14,1073.92724609375,urgente,cover,305,0.0014704751433061863,1652
prob_los_14,0.03710505738854408,urgente,feature_importances_attr,2,0.03710505738854408,1652
prob_los_14,38.132972717285156,urgente,gain,2,0.03710505572614411,1652
prob_los_14,118132.0,urgente,total_cover,1,0.03314686142725225,1652
prob_los_14,4194.626953125,urgente,total_gain,1,0.30208863003311565,1652
prob_los_14,110.0,urgente,weight,1,0.051789077212806026,1652
