umbral_plos_analizado,tramo,n_casos,mae,rmse,medae,me,pup,mae_asimetrico,pct_error_abs_le_1d,pct_error_abs_le_3d,pct_error_abs_le_7d,los_real_promedio,los_pred_promedio,umbral_plos,proporcion_plos,n_plos_real,n_plos_pred,precision_plos,recall_plos,f1_plos,accuracy_plos,tp_plos,fp_plos,fn_plos,tn_plos
7,0-2,1183,0.7850176570897675,1.5713484638289037,0.4548914432525635,0.6874420713705727,0.13947590870667795,0.8338054499493649,0.7937447168216399,0.9577345731191885,0.9940828402366864,1.2299239222316145,1.9173659936021872,7,0.0,0,12,0.0,0.0,0.0,0.9898562975486053,0,12,0,1171
7,3-6,680,1.6100188167656169,2.656418958413186,1.055551290512085,-0.22208731279653662,0.6911764705882353,2.526071881546694,0.47794117647058826,0.8838235294117647,0.9705882352941176,4.0323529411764705,3.810265628379934,7,0.0,0,52,0.0,0.0,0.0,0.9235294117647059,0,52,0,628
7,7-13,249,4.065201153238136,5.014655067372717,3.5940334796905518,-1.6972789908029946,0.7269076305220884,6.946441225258701,0.12048192771084337,0.42168674698795183,0.8875502008032129,9.028112449799197,7.330833458996202,7,1.0,249,102,1.0,0.40963855421686746,0.5811965811965811,0.40963855421686746,102,0,147,0
7,14+ (PLOS),279,13.521310823365353,19.387001212923145,10.346567153930664,-9.430531939298021,0.7741935483870968,24.99723220469704,0.03942652329749104,0.1111111111111111,0.32974910394265233,30.982078853046595,21.551546913748574,7,1.0,279,234,1.0,0.8387096774193549,0.9122807017543859,0.8387096774193549,234,0,45,0
14,0-2,1183,0.7935112335184622,1.6207660497246155,0.47536587715148926,0.7041495088377648,0.17159763313609466,0.8381920958588109,0.7945900253592562,0.9636517328825022,0.9923922231614539,1.2299239222316145,1.9340734310693792,14,0.0,0,4,0.0,0.0,0.0,0.9966187658495351,0,4,0,1179
14,3-6,680,1.5665384662501953,2.629444080416669,0.9859315156936646,-0.22349577703896692,0.6867647058823529,2.461555587894776,0.5044117647058823,0.8911764705882353,0.9720588235294118,4.0323529411764705,3.8088571641375037,14,0.0,0,12,0.0,0.0,0.0,0.9823529411764705,0,12,0,668
14,7-13,249,4.099605031760342,4.923635710454083,3.603193998336792,-1.762564804659311,0.7188755020080321,7.030689949970169,0.10040160642570281,0.40160642570281124,0.8755020080321285,9.028112449799197,7.265547645139886,14,0.0,0,25,0.0,0.0,0.0,0.8995983935742972,0,25,0,224
14,14+ (PLOS),279,13.668216224212372,19.762412131251367,10.478080749511719,-9.115363367996762,0.7885304659498208,25.06000602031694,0.05734767025089606,0.16487455197132617,0.3225806451612903,30.982078853046595,21.86671548504983,14,1.0,279,164,1.0,0.5878136200716846,0.7404063205417607,0.5878136200716846,164,0,115,0
21,0-2,1183,0.7995538749084167,1.6051138184508802,0.4900468587875366,0.7105534838249596,0.19273034657650043,0.8440540704501451,0.7802197802197802,0.9644970414201184,0.9923922231614539,1.2299239222316145,1.9404774060565742,21,0.0,0,0,0.0,0.0,0.0,1.0,0,0,0,1183
21,3-6,680,1.5247397659456028,2.4805514067027836,0.998379111289978,-0.24284231014111463,0.6779411764705883,2.4085308039889615,0.5,0.8941176470588236,0.9735294117647059,4.0323529411764705,3.789510631035356,21,0.0,0,1,0.0,0.0,0.0,0.9985294117647059,0,1,0,679
21,7-13,249,4.150724724593411,4.996180818389903,3.7160544395446777,-1.8365573456967212,0.7349397590361446,7.144365759738478,0.10843373493975904,0.37751004016064255,0.8795180722891566,9.028112449799197,7.191555104102475,21,0.0,0,5,0.0,0.0,0.0,0.9799196787148594,0,5,0,244
21,14+ (PLOS),279,13.421186796225955,19.423253536454858,10.156537055969238,-8.936654716836935,0.7455197132616488,24.6001075527574,0.05017921146953405,0.15053763440860216,0.33691756272401435,30.982078853046595,22.045424136209657,21,0.6272401433691757,175,103,0.8349514563106796,0.49142857142857144,0.6187050359712231,0.6200716845878136,86,17,89,87
27,0-2,1183,0.7847555426979912,1.5353523110118055,0.46888577938079834,0.6917642522619019,0.19864750633981404,0.8312511879160358,0.7836010143702451,0.9628064243448858,0.9940828402366864,1.2299239222316145,1.9216881744935164,27,0.0,0,0,0.0,0.0,0.0,1.0,0,0,0,1183
27,3-6,680,1.5545446877970415,2.492182557059282,1.0557021498680115,-0.25958904781762293,0.6823529411764706,2.4616115556043736,0.47058823529411764,0.8911764705882353,0.9779411764705882,4.0323529411764705,3.7727638933588477,27,0.0,0,1,0.0,0.0,0.0,0.9985294117647059,0,1,0,679
27,7-13,249,4.221547070277264,5.144482909356804,3.801821708679199,-1.8139105388917118,0.7429718875502008,7.239275874861752,0.0963855421686747,0.36947791164658633,0.8594377510040161,9.028112449799197,7.214201910907485,27,0.0,0,2,0.0,0.0,0.0,0.9919678714859438,0,2,0,247
27,14+ (PLOS),279,13.660574550697026,19.392059158090444,10.272850036621094,-9.288583615347475,0.7956989247311828,25.135153633719277,0.053763440860215055,0.12544802867383512,0.34050179211469533,30.982078853046595,21.693495237699118,27,0.43727598566308246,122,76,0.7763157894736842,0.48360655737704916,0.5959595959595959,0.7132616487455197,59,17,63,140
