segmento,variante_hiperparametros,n_casos,mae,mae_ci_lower,mae_ci_upper,rmse,recall_plos,f1_plos,precision_plos,mae_asimetrico,delta_mae_pct
global,Full (linea base),2391,2.859976547790067,2.6108187462540133,3.1435608758513602,7.166820222578505,0.5878136200716846,0.6776859504132232,0.8,4.771151203003103,0.0
urgente,Full (linea base),698,5.342858958978708,4.72263426063182,6.000122732348889,10.126998033651082,0.5666666666666667,0.6623376623376623,0.796875,8.925531486556318,0.0
programado,Full (linea base),1693,1.8363191803891985,1.6159863217854273,2.1157032683018615,5.5006593061603795,0.6262626262626263,0.7045454545454545,0.8051948051948052,3.058358859281813,0.0
global,Conservadora (mas regularizada),2391,2.875158393675316,2.622765801544097,3.1582326938784964,7.173870886432979,0.5913978494623656,0.6832298136645962,0.8088235294117647,4.820459547058054,0.5308381251230815
urgente,Conservadora (mas regularizada),698,5.331255715778018,4.747170761201989,5.944131578774028,9.960009512427334,0.5777777777777777,0.6731391585760518,0.8062015503875969,8.912718911054824,-0.21717292726192067
programado,Conservadora (mas regularizada),1693,1.8625441403807583,1.6213251052940307,2.137829056941083,5.637639701385914,0.6161616161616161,0.7011494252873564,0.8133333333333334,3.133278781511836,1.4281264538118903
global,Compleja (menos regularizada),2391,2.8862935971516985,2.6372957724608117,3.1714352388780163,7.392556615607042,0.6200716845878136,0.7046843177189409,0.8160377358490566,4.819160761493163,0.9201840966831292
urgente,Compleja (menos regularizada),698,5.478101752805164,4.798284487063358,6.227482997024042,10.84179303748893,0.6111111111111112,0.6962025316455697,0.8088235294117647,9.169138525311107,2.5312813769710245
programado,Compleja (menos regularizada),1693,1.817727683007506,1.6030101140059985,2.086526114216687,5.35904325820751,0.6363636363636364,0.7200000000000001,0.8289473684210527,3.0257263378989956,-1.0124327829409345
global,Perturbacion estocastica de muestreo,2391,2.8911801160117263,2.6513813506388066,3.1740729729770765,7.1004107917037915,0.5770609318996416,0.6736401673640167,0.8090452261306532,4.831335418434235,1.0910428005352164
urgente,Perturbacion estocastica de muestreo,698,5.411709804418777,4.809749948978424,6.057569870865106,9.921233276298956,0.5611111111111111,0.6601307189542484,0.8015873015873016,9.029285770261868,1.288651749347886
programado,Perturbacion estocastica de muestreo,1693,1.8520013076785184,1.6207331982964392,2.1325470432885565,5.533526160194755,0.6060606060606061,0.6976744186046511,0.821917808219178,3.1005797506399713,0.8539979028044677
